scenario,run_id,entity_unit_count,N_region_median,N_family_median,A_candidate_px_median,A_candidate_m2_median,A_candidate_over_A_search_support_median
CURRENT_RUNTIME,R01ZF,18,11.5,10.75,5499.5,6.2908339019751605,0.08089375846561131
CURRENT_RUNTIME,R02ZF,71,8.0,7.0,3077.0,3.5197555989412797,0.0563650037294795
CURRENT_RUNTIME,R03ZF,18,6.5,6.5,998.75,1.1424621073911614,0.023678948312764535
FULL_STREAM_P0,R01ZF,18,11.5,10.75,5499.5,6.2908339019751605,0.08089375846561131
FULL_STREAM_P0,R02ZF,71,8.0,7.0,3077.0,3.5197555989412797,0.0563650037294795
FULL_STREAM_P0,R03ZF,18,6.5,6.5,998.75,1.1424621073911614,0.023678948312764535
ORACLE_OPTICAL_IDENTITY,R01ZF,14,13.25,12.25,6053.0,6.923978108674543,0.08589423838072288
ORACLE_OPTICAL_IDENTITY,R02ZF,37,7.0,6.5,2906.0,3.3241500716683,0.051381117185653476
ORACLE_OPTICAL_IDENTITY,R03ZF,9,6.5,6.5,975.5,1.1158666190338702,0.023513820998769794
CURRENT_RUNTIME,ALL_DEVELOPMENT_RUNS,107,7.0,7.0,2662.0,3.0450404304132883,0.0501605958907513
FULL_STREAM_P0,ALL_DEVELOPMENT_RUNS,107,7.0,7.0,2662.0,3.0450404304132883,0.0501605958907513
ORACLE_OPTICAL_IDENTITY,ALL_DEVELOPMENT_RUNS,60,7.5,7.0,2857.75,3.268957284002094,0.048905626233036265
