ladder_stage,N_family_before_median,N_family_after_median,N_family_reduction_median,reference_retention_fraction,burden_basis,scope
CURRENT_RUNTIME,,7.0,,,PER_ENTITY_PER_FRAME_OR_UNIT_AGGREGATE,PRE_REFERENCE_OR_RUNTIME_LEGAL
FULL_STREAM_P0,,7.0,,,PER_ENTITY_PER_FRAME_OR_UNIT_AGGREGATE,PRE_REFERENCE_OR_RUNTIME_LEGAL
ORACLE_OPTICAL_IDENTITY,,7.0,,,PER_ENTITY_PER_FRAME_OR_UNIT_AGGREGATE,ORACLE_DIAGNOSTIC_ONLY
ORACLE_OPTICAL_IDENTITY_EFFECT_MATCHED_FRAMES,11.0,10.0,0.0,,MATCHED_ENTITY_FRAME,ORACLE_DIAGNOSTIC_ONLY
FULL_P0_PLUS_COARSE_RANGE::COARSE_RANGE_PM_0.5M,12.0,1.0,11.0,1.0,MATCHED_ENTITY_FRAME,ORACLE_DIAGNOSTIC_ONLY
FULL_P0_PLUS_COARSE_RANGE::COARSE_RANGE_PM_1M,12.0,1.0,10.0,1.0,MATCHED_ENTITY_FRAME,ORACLE_DIAGNOSTIC_ONLY
FULL_P0_PLUS_COARSE_RANGE::COARSE_RANGE_PM_2M,12.0,1.0,10.0,1.0,MATCHED_ENTITY_FRAME,ORACLE_DIAGNOSTIC_ONLY
FULL_P0_PLUS_COARSE_RANGE::COARSE_RANGE_PM_3M,12.0,2.0,9.0,1.0,MATCHED_ENTITY_FRAME,ORACLE_DIAGNOSTIC_ONLY
FULL_P0_PLUS_COARSE_RANGE::ORACLE_RANGE_NEAR_EXACT,12.0,1.0,11.0,1.0,MATCHED_ENTITY_FRAME,ORACLE_DIAGNOSTIC_ONLY
FULL_P0_PLUS_ORACLE_ID_PLUS_COARSE_RANGE::COARSE_RANGE_PM_0.5M,11.5,1.0,10.5,1.0,MATCHED_ENTITY_FRAME,ORACLE_DIAGNOSTIC_ONLY
FULL_P0_PLUS_ORACLE_ID_PLUS_COARSE_RANGE::COARSE_RANGE_PM_1M,11.5,1.0,10.0,1.0,MATCHED_ENTITY_FRAME,ORACLE_DIAGNOSTIC_ONLY
FULL_P0_PLUS_ORACLE_ID_PLUS_COARSE_RANGE::COARSE_RANGE_PM_2M,11.5,1.0,10.0,1.0,MATCHED_ENTITY_FRAME,ORACLE_DIAGNOSTIC_ONLY
FULL_P0_PLUS_ORACLE_ID_PLUS_COARSE_RANGE::COARSE_RANGE_PM_3M,11.5,2.0,9.0,1.0,MATCHED_ENTITY_FRAME,ORACLE_DIAGNOSTIC_ONLY
FULL_P0_PLUS_ORACLE_ID_PLUS_COARSE_RANGE::ORACLE_RANGE_NEAR_EXACT,11.5,1.0,10.5,1.0,MATCHED_ENTITY_FRAME,ORACLE_DIAGNOSTIC_ONLY
FULL_P0_PLUS_ONE_CORRECT_ANCHOR,24.0,24.0,0.0,,DECLARED_DIAGNOSTIC_UNIT_FAMILY_DOMAIN,ORACLE_DIAGNOSTIC_ONLY
FULL_P0_PLUS_ORACLE_ID_PLUS_ONE_ANCHOR_PLUS_PM3M_RANGE,20.0,20.0,0.0,,DECLARED_DIAGNOSTIC_UNIT_FAMILY_DOMAIN,ORACLE_DIAGNOSTIC_ONLY
