run_id,frame_index,optical_person_id,N_family_current,N_region_current,N_family_oracle_id,N_region_oracle_id,N_family_reduction,oracle_diagnostic_only
R01ZF,0,R01ZF_OPTPERSON001,8,10,8,10,0,True
R01ZF,0,R01ZF_OPTPERSON002,8,9,8,9,0,True
R01ZF,1,R01ZF_OPTPERSON001,7,10,7,10,0,True
R01ZF,1,R01ZF_OPTPERSON002,9,11,9,11,0,True
R01ZF,2,R01ZF_OPTPERSON001,9,10,9,10,0,True
R01ZF,2,R01ZF_OPTPERSON002,11,12,11,12,0,True
R01ZF,3,R01ZF_OPTPERSON001,8,9,8,9,0,True
R01ZF,3,R01ZF_OPTPERSON002,10,11,10,11,0,True
R01ZF,4,R01ZF_OPTPERSON001,9,9,9,9,0,True
R01ZF,4,R01ZF_OPTPERSON002,11,11,11,11,0,True
R01ZF,5,R01ZF_OPTPERSON001,13,13,13,13,0,True
R01ZF,5,R01ZF_OPTPERSON002,14,15,14,15,0,True
R01ZF,6,R01ZF_OPTPERSON001,11,11,11,11,0,True
R01ZF,6,R01ZF_OPTPERSON002,12,13,12,13,0,True
R01ZF,7,R01ZF_OPTPERSON001,12,12,12,12,0,True
R01ZF,7,R01ZF_OPTPERSON002,13,14,13,14,0,True
R01ZF,8,R01ZF_OPTPERSON001,11,11,11,11,0,True
R01ZF,8,R01ZF_OPTPERSON002,15,17,15,17,0,True
R01ZF,9,R01ZF_OPTPERSON001,15,17,15,17,0,True
R01ZF,9,R01ZF_OPTPERSON002,17,19,17,19,0,True
R01ZF,10,R01ZF_OPTPERSON001,14,16,14,16,0,True
R01ZF,10,R01ZF_OPTPERSON002,15,17,15,17,0,True
R01ZF,11,R01ZF_OPTPERSON001,16,19,16,19,0,True
R01ZF,11,R01ZF_OPTPERSON002,18,20,18,20,0,True
R01ZF,12,R01ZF_OPTPERSON001,19,24,19,24,0,True
R01ZF,12,R01ZF_OPTPERSON002,21,25,21,25,0,True
R01ZF,13,R01ZF_OPTPERSON001,16,18,16,18,0,True
R01ZF,13,R01ZF_OPTPERSON002,19,21,19,21,0,True
R01ZF,14,R01ZF_OPTPERSON001,19,23,19,23,0,True
R01ZF,14,R01ZF_OPTPERSON002,21,25,21,25,0,True
R01ZF,15,R01ZF_OPTPERSON001,20,23,20,23,0,True
R01ZF,15,R01ZF_OPTPERSON002,19,22,19,22,0,True
R01ZF,16,R01ZF_OPTPERSON001,15,19,15,19,0,True
R01ZF,16,R01ZF_OPTPERSON002,16,19,16,19,0,True
R01ZF,17,R01ZF_OPTPERSON001,16,21,16,21,0,True
R01ZF,17,R01ZF_OPTPERSON002,16,21,16,21,0,True
R01ZF,17,R01ZF_OPTPERSON003,8,9,8,9,0,True
R01ZF,18,R01ZF_OPTPERSON001,14,19,14,19,0,True
R01ZF,18,R01ZF_OPTPERSON002,16,20,16,20,0,True
R01ZF,18,R01ZF_OPTPERSON003,6,8,6,8,0,True
R01ZF,19,R01ZF_OPTPERSON001,14,20,14,20,0,True
R01ZF,19,R01ZF_OPTPERSON002,17,23,17,23,0,True
R01ZF,19,R01ZF_OPTPERSON003,7,9,7,9,0,True
R01ZF,20,R01ZF_OPTPERSON001,17,21,17,21,0,True
R01ZF,20,R01ZF_OPTPERSON002,17,21,17,21,0,True
R01ZF,20,R01ZF_OPTPERSON003,5,7,5,7,0,True
R01ZF,21,R01ZF_OPTPERSON001,13,15,13,15,0,True
R01ZF,21,R01ZF_OPTPERSON002,16,18,16,18,0,True
R01ZF,21,R01ZF_OPTPERSON003,6,7,6,7,0,True
R01ZF,22,R01ZF_OPTPERSON001,14,18,14,18,0,True
R01ZF,22,R01ZF_OPTPERSON002,17,20,17,20,0,True
R01ZF,22,R01ZF_OPTPERSON003,8,10,8,10,0,True
R01ZF,23,R01ZF_OPTPERSON001,15,19,15,19,0,True
R01ZF,23,R01ZF_OPTPERSON002,18,21,18,21,0,True
R01ZF,23,R01ZF_OPTPERSON003,8,10,8,10,0,True
R01ZF,24,R01ZF_OPTPERSON001,18,22,18,22,0,True
R01ZF,24,R01ZF_OPTPERSON002,21,24,21,24,0,True
R01ZF,24,R01ZF_OPTPERSON003,9,11,9,11,0,True
R01ZF,25,R01ZF_OPTPERSON001,15,22,15,22,0,True
R01ZF,25,R01ZF_OPTPERSON002,17,22,17,22,0,True
R01ZF,25,R01ZF_OPTPERSON003,10,12,10,12,0,True
R01ZF,26,R01ZF_OPTPERSON001,15,18,15,18,0,True
R01ZF,26,R01ZF_OPTPERSON002,16,18,16,18,0,True
R01ZF,26,R01ZF_OPTPERSON003,9,11,9,11,0,True
R01ZF,27,R01ZF_OPTPERSON001,16,21,16,21,0,True
R01ZF,27,R01ZF_OPTPERSON002,16,20,16,20,0,True
R01ZF,27,R01ZF_OPTPERSON003,9,11,9,11,0,True
R01ZF,28,R01ZF_OPTPERSON001,16,20,16,20,0,True
R01ZF,28,R01ZF_OPTPERSON002,16,18,16,18,0,True
R01ZF,28,R01ZF_OPTPERSON003,10,12,10,12,0,True
R01ZF,29,R01ZF_OPTPERSON001,17,20,17,20,0,True
R01ZF,29,R01ZF_OPTPERSON002,20,22,20,22,0,True
R01ZF,29,R01ZF_OPTPERSON003,10,13,10,13,0,True
R01ZF,30,R01ZF_OPTPERSON001,19,22,19,22,0,True
R01ZF,30,R01ZF_OPTPERSON002,18,19,18,19,0,True
R01ZF,30,R01ZF_OPTPERSON003,12,14,12,14,0,True
R01ZF,31,R01ZF_OPTPERSON001,20,24,20,24,0,True
R01ZF,31,R01ZF_OPTPERSON002,18,21,18,21,0,True
R01ZF,31,R01ZF_OPTPERSON003,10,11,10,11,0,True
R01ZF,32,R01ZF_OPTPERSON001,20,21,20,21,0,True
R01ZF,32,R01ZF_OPTPERSON002,22,23,22,23,0,True
R01ZF,32,R01ZF_OPTPERSON003,15,18,15,18,0,True
R01ZF,33,R01ZF_OPTPERSON001,23,25,23,25,0,True
R01ZF,33,R01ZF_OPTPERSON002,20,21,20,21,0,True
R01ZF,33,R01ZF_OPTPERSON003,9,12,9,12,0,True
R01ZF,34,R01ZF_OPTPERSON001,22,23,22,23,0,True
R01ZF,34,R01ZF_OPTPERSON002,19,19,19,19,0,True
R01ZF,34,R01ZF_OPTPERSON003,10,14,10,14,0,True
R01ZF,35,R01ZF_OPTPERSON001,17,19,17,19,0,True
R01ZF,35,R01ZF_OPTPERSON002,17,18,17,18,0,True
R01ZF,35,R01ZF_OPTPERSON003,12,16,12,16,0,True
R01ZF,36,R01ZF_OPTPERSON001,18,19,18,19,0,True
R01ZF,36,R01ZF_OPTPERSON002,16,16,16,16,0,True
R01ZF,36,R01ZF_OPTPERSON003,10,12,10,12,0,True
R01ZF,37,R01ZF_OPTPERSON001,19,19,19,19,0,True
R01ZF,37,R01ZF_OPTPERSON002,17,17,17,17,0,True
R01ZF,37,R01ZF_OPTPERSON003,12,15,12,15,0,True
R01ZF,38,R01ZF_OPTPERSON001,18,18,18,18,0,True
R01ZF,38,R01ZF_OPTPERSON002,15,16,16,16,-1,True
R01ZF,38,R01ZF_OPTPERSON003,13,16,14,16,-1,True
R01ZF,39,R01ZF_OPTPERSON001,16,17,16,17,0,True
R01ZF,39,R01ZF_OPTPERSON002,14,17,14,17,0,True
R01ZF,39,R01ZF_OPTPERSON003,13,17,15,17,-2,True
R01ZF,40,R01ZF_OPTPERSON001,9,9,9,9,0,True
R01ZF,40,R01ZF_OPTPERSON002,10,10,10,10,0,True
R01ZF,40,R01ZF_OPTPERSON003,12,13,13,13,-1,True
R01ZF,41,R01ZF_OPTPERSON001,12,12,12,12,0,True
R01ZF,41,R01ZF_OPTPERSON002,13,13,13,13,0,True
R01ZF,41,R01ZF_OPTPERSON003,11,14,14,14,-3,True
R01ZF,42,R01ZF_OPTPERSON001,15,16,15,16,0,True
R01ZF,42,R01ZF_OPTPERSON002,13,14,13,14,0,True
R01ZF,42,R01ZF_OPTPERSON003,16,20,18,20,-2,True
R01ZF,43,R01ZF_OPTPERSON001,16,17,16,17,0,True
R01ZF,43,R01ZF_OPTPERSON002,15,16,15,16,0,True
R01ZF,43,R01ZF_OPTPERSON003,13,17,15,17,-2,True
R01ZF,44,R01ZF_OPTPERSON001,18,20,18,20,0,True
R01ZF,44,R01ZF_OPTPERSON002,18,21,18,21,0,True
R01ZF,44,R01ZF_OPTPERSON003,16,20,18,20,-2,True
R01ZF,45,R01ZF_OPTPERSON001,15,17,15,17,0,True
R01ZF,45,R01ZF_OPTPERSON002,14,14,14,14,0,True
R01ZF,45,R01ZF_OPTPERSON003,18,22,20,22,-2,True
R01ZF,46,R01ZF_OPTPERSON001,15,16,15,16,0,True
R01ZF,46,R01ZF_OPTPERSON002,13,14,13,14,0,True
R01ZF,46,R01ZF_OPTPERSON003,18,20,20,20,-2,True
R01ZF,47,R01ZF_OPTPERSON001,15,16,15,16,0,True
R01ZF,47,R01ZF_OPTPERSON002,15,15,15,15,0,True
R01ZF,47,R01ZF_OPTPERSON003,19,20,20,20,-1,True
R01ZF,48,R01ZF_OPTPERSON001,15,15,15,15,0,True
R01ZF,48,R01ZF_OPTPERSON002,14,15,14,15,0,True
R01ZF,48,R01ZF_OPTPERSON003,18,21,19,21,-1,True
R01ZF,49,R01ZF_OPTPERSON001,15,15,15,15,0,True
R01ZF,49,R01ZF_OPTPERSON002,14,15,14,15,0,True
R01ZF,49,R01ZF_OPTPERSON003,16,19,17,19,-1,True
R01ZF,50,R01ZF_OPTPERSON001,13,14,13,14,0,True
R01ZF,50,R01ZF_OPTPERSON002,11,11,11,11,0,True
R01ZF,50,R01ZF_OPTPERSON003,18,19,19,19,-1,True
R01ZF,51,R01ZF_OPTPERSON001,12,12,12,12,0,True
R01ZF,51,R01ZF_OPTPERSON002,13,14,13,14,0,True
R01ZF,51,R01ZF_OPTPERSON003,17,17,17,17,0,True
R01ZF,52,R01ZF_OPTPERSON001,14,14,14,14,0,True
R01ZF,52,R01ZF_OPTPERSON002,13,13,13,13,0,True
R01ZF,52,R01ZF_OPTPERSON003,19,21,19,21,0,True
R01ZF,53,R01ZF_OPTPERSON001,11,13,11,13,0,True
R01ZF,53,R01ZF_OPTPERSON002,11,13,11,13,0,True
R01ZF,53,R01ZF_OPTPERSON003,18,19,18,19,0,True
R01ZF,54,R01ZF_OPTPERSON001,11,12,11,12,0,True
R01ZF,54,R01ZF_OPTPERSON002,13,14,13,14,0,True
R01ZF,54,R01ZF_OPTPERSON003,17,17,17,17,0,True
R01ZF,55,R01ZF_OPTPERSON001,11,12,11,12,0,True
R01ZF,55,R01ZF_OPTPERSON002,11,12,11,12,0,True
R01ZF,55,R01ZF_OPTPERSON003,19,19,19,19,0,True
R01ZF,56,R01ZF_OPTPERSON001,10,11,10,11,0,True
R01ZF,56,R01ZF_OPTPERSON002,9,10,9,10,0,True
R01ZF,56,R01ZF_OPTPERSON003,17,17,17,17,0,True
R01ZF,57,R01ZF_OPTPERSON001,12,13,12,13,0,True
R01ZF,57,R01ZF_OPTPERSON002,11,12,11,12,0,True
R01ZF,57,R01ZF_OPTPERSON003,13,13,13,13,0,True
R01ZF,58,R01ZF_OPTPERSON001,11,12,11,12,0,True
R01ZF,58,R01ZF_OPTPERSON002,11,12,11,12,0,True
R01ZF,58,R01ZF_OPTPERSON003,15,16,15,16,0,True
R01ZF,59,R01ZF_OPTPERSON001,13,14,13,14,0,True
R01ZF,59,R01ZF_OPTPERSON002,12,13,12,13,0,True
R01ZF,59,R01ZF_OPTPERSON003,15,17,15,17,0,True
R01ZF,60,R01ZF_OPTPERSON001,12,12,12,12,0,True
R01ZF,60,R01ZF_OPTPERSON002,14,16,14,16,0,True
R01ZF,60,R01ZF_OPTPERSON003,15,19,15,19,0,True
R01ZF,61,R01ZF_OPTPERSON001,14,17,14,17,0,True
R01ZF,61,R01ZF_OPTPERSON002,15,20,15,20,0,True
R01ZF,61,R01ZF_OPTPERSON003,16,21,16,21,0,True
R01ZF,62,R01ZF_OPTPERSON001,16,17,16,17,0,True
R01ZF,62,R01ZF_OPTPERSON002,17,20,17,20,0,True
R01ZF,62,R01ZF_OPTPERSON003,16,18,16,18,0,True
R01ZF,63,R01ZF_OPTPERSON001,15,17,15,17,0,True
R01ZF,63,R01ZF_OPTPERSON002,15,17,15,17,0,True
R01ZF,63,R01ZF_OPTPERSON003,16,19,16,19,0,True
R01ZF,64,R01ZF_OPTPERSON001,16,17,16,17,0,True
R01ZF,64,R01ZF_OPTPERSON002,16,18,16,18,0,True
R01ZF,64,R01ZF_OPTPERSON003,15,17,15,17,0,True
R01ZF,65,R01ZF_OPTPERSON001,16,17,16,17,0,True
R01ZF,65,R01ZF_OPTPERSON002,16,17,16,17,0,True
R01ZF,65,R01ZF_OPTPERSON003,14,15,14,15,0,True
R01ZF,66,R01ZF_OPTPERSON001,12,13,12,13,0,True
R01ZF,66,R01ZF_OPTPERSON002,12,12,12,12,0,True
R01ZF,66,R01ZF_OPTPERSON003,13,15,13,15,0,True
R01ZF,67,R01ZF_OPTPERSON001,15,18,15,18,0,True
R01ZF,67,R01ZF_OPTPERSON002,16,19,16,19,0,True
R01ZF,67,R01ZF_OPTPERSON003,17,21,17,21,0,True
R01ZF,68,R01ZF_OPTPERSON001,13,13,13,13,0,True
R01ZF,68,R01ZF_OPTPERSON002,13,14,13,14,0,True
R01ZF,68,R01ZF_OPTPERSON003,13,16,13,16,0,True
R01ZF,69,R01ZF_OPTPERSON001,16,19,16,19,0,True
R01ZF,69,R01ZF_OPTPERSON002,16,19,16,19,0,True
R01ZF,69,R01ZF_OPTPERSON003,17,19,17,19,0,True
R01ZF,70,R01ZF_OPTPERSON001,16,17,16,17,0,True
R01ZF,70,R01ZF_OPTPERSON002,14,15,14,15,0,True
R01ZF,70,R01ZF_OPTPERSON003,11,14,11,14,0,True
R01ZF,71,R01ZF_OPTPERSON001,16,16,16,16,0,True
R01ZF,71,R01ZF_OPTPERSON002,13,14,13,14,0,True
R01ZF,71,R01ZF_OPTPERSON003,8,11,8,11,0,True
R01ZF,72,R01ZF_OPTPERSON001,18,19,18,19,0,True
R01ZF,72,R01ZF_OPTPERSON002,16,18,16,18,0,True
R01ZF,72,R01ZF_OPTPERSON003,11,15,11,15,0,True
R01ZF,73,R01ZF_OPTPERSON001,16,17,16,17,0,True
R01ZF,73,R01ZF_OPTPERSON002,13,15,13,15,0,True
R01ZF,73,R01ZF_OPTPERSON003,12,16,12,16,0,True
