scenario,run_id,source_frame,destination_frame,source_frame_uid,destination_frame_uid,p0_state,p0_model,translation_dx_px,translation_dy_px,source_region_id,destination_region_id,soft_intersection_px,source_support_px,warped_source_support_px,destination_support_px,source_retention,destination_explained,soft_iou,upper_possible,reference_used,source_dominant,destination_dominant,optional_compatible,lower_mutual_dominant,optional_out_degree,optional_in_degree,topology_ambiguity,family_authority_semantics
CURRENT_PARTIAL_P0,R01ZF,0,1,R01ZF_SARF000000,R01ZF_SARF000001,FROZEN_PARTIAL_P0_AVAILABLE,M1,2.4461445808410645,0.09263928234577179,R01ZF_SARF000000__Q095__R0001,R01ZF_SARF000001__Q095__R0001,728.615234375,757.0,757.0,884.0,0.9625036121202114,0.8242253782522625,0.7985832971201414,True,False,True,True,True,True,1,1,ONE_TO_ONE_LIKE_OR_NONOPTIONAL,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
CURRENT_PARTIAL_P0,R01ZF,0,1,R01ZF_SARF000000,R01ZF_SARF000001,FROZEN_PARTIAL_P0_AVAILABLE,M1,2.4461445808410645,0.09263928234577179,R01ZF_SARF000000__Q095__R0002,R01ZF_SARF000001__Q095__R0002,422.751953125,446.0,446.0,516.0,0.9478743343609866,0.8192867308624031,0.7839656639924664,True,False,True,True,True,True,1,1,ONE_TO_ONE_LIKE_OR_NONOPTIONAL,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
CURRENT_PARTIAL_P0,R01ZF,0,1,R01ZF_SARF000000,R01ZF_SARF000001,FROZEN_PARTIAL_P0_AVAILABLE,M1,2.4461445808410645,0.09263928234577179,R01ZF_SARF000000__Q095__R0003,R01ZF_SARF000001__Q095__R0004,885.330078125,2013.0,2013.0,996.0,0.4398062981246895,0.8888856206074297,0.41688685657107066,True,False,True,True,True,True,2,1,SPLIT_LIKE,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
CURRENT_PARTIAL_P0,R01ZF,0,1,R01ZF_SARF000000,R01ZF_SARF000001,FROZEN_PARTIAL_P0_AVAILABLE,M1,2.4461445808410645,0.09263928234577179,R01ZF_SARF000000__Q095__R0003,R01ZF_SARF000001__Q095__R0035,144.958984375,2013.0,2013.0,152.0,0.07201141797069051,0.9536775287828947,0.07176041637459017,True,False,False,True,True,False,2,1,SPLIT_LIKE,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
CURRENT_PARTIAL_P0,R01ZF,0,1,R01ZF_SARF000000,R01ZF_SARF000001,FROZEN_PARTIAL_P0_AVAILABLE,M1,2.4461445808410645,0.09263928234577179,R01ZF_SARF000000__Q095__R0004,R01ZF_SARF000001__Q095__R0006,658.810546875,727.0,727.0,702.0,0.9062043285763411,0.9384765625,0.8553876506642796,True,False,True,True,True,True,1,1,ONE_TO_ONE_LIKE_OR_NONOPTIONAL,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
CURRENT_PARTIAL_P0,R01ZF,0,1,R01ZF_SARF000000,R01ZF_SARF000001,FROZEN_PARTIAL_P0_AVAILABLE,M1,2.4461445808410645,0.09263928234577179,R01ZF_SARF000000__Q095__R0005,R01ZF_SARF000001__Q095__R0003,574.27734375,599.0,599.0,666.0,0.9587267842237062,0.862278293918919,0.8314152410575427,True,False,True,True,True,True,1,1,ONE_TO_ONE_LIKE_OR_NONOPTIONAL,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
CURRENT_PARTIAL_P0,R01ZF,0,1,R01ZF_SARF000000,R01ZF_SARF000001,FROZEN_PARTIAL_P0_AVAILABLE,M1,2.4461445808410645,0.09263928234577179,R01ZF_SARF000000__Q095__R0006,R01ZF_SARF000001__Q095__R0005,289.896484375,322.0,322.0,368.0,0.9002996409161491,0.7877621858016305,0.7245537043636169,True,False,True,True,True,True,1,1,ONE_TO_ONE_LIKE_OR_NONOPTIONAL,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
CURRENT_PARTIAL_P0,R01ZF,0,1,R01ZF_SARF000000,R01ZF_SARF000001,FROZEN_PARTIAL_P0_AVAILABLE,M1,2.4461445808410645,0.09263928234577179,R01ZF_SARF000000__Q095__R0007,R01ZF_SARF000001__Q095__R0007,762.1875,1772.0,1772.0,828.0,0.4301283860045147,0.920516304347826,0.414725386838973,True,False,True,True,True,True,2,1,SPLIT_LIKE,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
CURRENT_PARTIAL_P0,R01ZF,0,1,R01ZF_SARF000000,R01ZF_SARF000001,FROZEN_PARTIAL_P0_AVAILABLE,M1,2.4461445808410645,0.09263928234577179,R01ZF_SARF000000__Q095__R0007,R01ZF_SARF000001__Q095__R0008,732.5,1772.0,1772.0,1434.0,0.4133747178329571,0.5108089260808926,0.2961390741863756,True,False,False,True,True,False,2,2,SPLIT_AND_MERGE_LIKE,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
CURRENT_PARTIAL_P0,R01ZF,0,1,R01ZF_SARF000000,R01ZF_SARF000001,FROZEN_PARTIAL_P0_AVAILABLE,M1,2.4461445808410645,0.09263928234577179,R01ZF_SARF000000__Q095__R0008,R01ZF_SARF000001__Q095__R0012,319.1328125,349.0,349.0,341.0,0.9144206661891118,0.9358733504398827,0.8605043078932401,True,False,True,True,True,True,1,1,ONE_TO_ONE_LIKE_OR_NONOPTIONAL,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
