scenario,run_id,frame_index,entity_id,region_id,family_id,family_semantics
FULL_P0_FIXED_LAG_100MS,R01ZF,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0001,B0F_A913B28F3DEF45EA2998,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0002,B0F_10F2680DD94538113A00,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0007,B0F_66F533FE879559D3A604,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0011,B0F_CAFADC563A3E4AC55D4F,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0018,B0F_52B4EAD3AD5F8272F6A7,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0020,B0F_66F533FE879559D3A604,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0021,B0F_9A64999FDD6FC795ED0F,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0029,B0F_CAFADC563A3E4AC55D4F,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0034,B0F_DCFC23D3B0345E13E236,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,0,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0041,B0F_C984C7E05350A75280BF,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000001__Q095__R0001,B0F_A913B28F3DEF45EA2998,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000001__Q095__R0002,B0F_10F2680DD94538113A00,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000001__Q095__R0003,B0F_55B5AA7981D6A342B535,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000001__Q095__R0007,B0F_66F533FE879559D3A604,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000001__Q095__R0008,B0F_66F533FE879559D3A604,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000001__Q095__R0014,B0F_CAFADC563A3E4AC55D4F,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000001__Q095__R0018,B0F_52B4EAD3AD5F8272F6A7,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000001__Q095__R0020,B0F_9A64999FDD6FC795ED0F,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000001__Q095__R0023,B0F_DCFC23D3B0345E13E236,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000001__Q095__R0029,B0F_C984C7E05350A75280BF,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000001__Q095__R0030,B0F_CAFADC563A3E4AC55D4F,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,1,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000001__Q095__R0042,B0F_66F533FE879559D3A604,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,2,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000002__Q095__R0001,B0F_A913B28F3DEF45EA2998,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,2,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000002__Q095__R0002,B0F_10F2680DD94538113A00,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,2,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000002__Q095__R0003,B0F_55B5AA7981D6A342B535,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,2,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000002__Q095__R0009,B0F_66F533FE879559D3A604,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,2,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000002__Q095__R0010,B0F_66F533FE879559D3A604,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,2,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000002__Q095__R0016,B0F_CAFADC563A3E4AC55D4F,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
FULL_P0_FIXED_LAG_100MS,R01ZF,2,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000002__Q095__R0021,B0F_52B4EAD3AD5F8272F6A7,PERSON_B0_GRADED_P0_FAMILY_V1_OPTIONAL_COMPATIBLE
