run_id,frame_index,selection_role
R01ZF,0,R01_MECHANICAL_EARLY
R01ZF,1,R01_MECHANICAL_EARLY
R01ZF,3,R01_MECHANICAL_EARLY
R01ZF,5,R01_MECHANICAL_EARLY
R01ZF,7,R01_MECHANICAL_EARLY
R01ZF,9,R01_MECHANICAL_AMBIGUOUS
R01ZF,10,R01_MECHANICAL_AMBIGUOUS
R01ZF,12,R01_MECHANICAL_AMBIGUOUS
R01ZF,14,R01_MECHANICAL_AMBIGUOUS
R01ZF,16,R01_MECHANICAL_AMBIGUOUS
R01ZF,18,R01_MECHANICAL_AMBIGUOUS
R01ZF,485,R01_MECHANICAL_BOUNDARY
R01ZF,486,R01_MECHANICAL_BOUNDARY
R01ZF,488,R01_MECHANICAL_BOUNDARY
R01ZF,490,R01_MECHANICAL_BOUNDARY
R01ZF,492,R01_MECHANICAL_BOUNDARY
R01ZF,494,R01_MECHANICAL_BOUNDARY
R02ZF,450,R02_CRITICAL_CHAIN_FIXED
R02ZF,455,R02_CRITICAL_CHAIN_FIXED
R02ZF,460,R02_CRITICAL_CHAIN_FIXED
R02ZF,465,R02_CRITICAL_CHAIN_FIXED
R02ZF,470,R02_CRITICAL_CHAIN_FIXED
R02ZF,472,R02_CRITICAL_CHAIN_FIXED
R02ZF,475,R02_CRITICAL_CHAIN_FIXED
R02ZF,480,R02_CRITICAL_CHAIN_FIXED
R02ZF,485,R02_CRITICAL_CHAIN_FIXED
R02ZF,487,R02_CRITICAL_CHAIN_FIXED
R02ZF,488,R02_CRITICAL_CHAIN_FIXED
R02ZF,489,R02_CRITICAL_CHAIN_FIXED
R02ZF,490,R02_CRITICAL_CHAIN_FIXED
R02ZF,491,R02_CRITICAL_CHAIN_FIXED
R02ZF,492,R02_CRITICAL_CHAIN_FIXED
R02ZF,493,R02_CRITICAL_CHAIN_FIXED
R02ZF,494,R02_CRITICAL_CHAIN_FIXED
R03ZF,450,R03_NATURAL_SINGLETON_FIXED
R03ZF,451,R03_NATURAL_SINGLETON_FIXED
R03ZF,452,R03_NATURAL_SINGLETON_FIXED
R03ZF,453,R03_NATURAL_SINGLETON_FIXED
R03ZF,454,R03_NATURAL_SINGLETON_FIXED
R03ZF,455,R03_NATURAL_SINGLETON_FIXED
R03ZF,456,R03_NATURAL_SINGLETON_FIXED
R03ZF,457,R03_NATURAL_SINGLETON_FIXED
R03ZF,458,R03_NATURAL_SINGLETON_FIXED
R03ZF,459,R03_NATURAL_SINGLETON_FIXED
R03ZF,460,R03_NATURAL_SINGLETON_FIXED
R03ZF,461,R03_NATURAL_SINGLETON_FIXED
R03ZF,462,R03_NATURAL_SINGLETON_FIXED
R03ZF,463,R03_NATURAL_SINGLETON_FIXED
R03ZF,464,R03_NATURAL_SINGLETON_FIXED
R03ZF,465,R03_NATURAL_SINGLETON_FIXED
R03ZF,466,R03_NATURAL_SINGLETON_FIXED
R03ZF,467,R03_NATURAL_SINGLETON_FIXED
R03ZF,468,R03_NATURAL_SINGLETON_FIXED
R03ZF,469,R03_NATURAL_SINGLETON_FIXED
R03ZF,470,R03_NATURAL_SINGLETON_FIXED
R03ZF,471,R03_NATURAL_SINGLETON_FIXED
R03ZF,472,R03_NATURAL_SINGLETON_FIXED
R03ZF,473,R03_NATURAL_SINGLETON_FIXED
R03ZF,474,R03_NATURAL_SINGLETON_FIXED
R03ZF,475,R03_NATURAL_SINGLETON_FIXED
R03ZF,420,R03_CONTROL_NEAREST_IN_TIME_SINGLETON_CLUTTER
R03ZF,325,R03_CONTROL_MEDIAN_TIME_SINGLETON_CLUTTER
R03ZF,292,R03_CONTROL_FARTHEST_IN_TIME_SINGLETON_CLUTTER
R03ZF,333,R03_CONTROL_MEDIAN_TIME_SINGLETON_CLUTTER
R03ZF,316,R03_CONTROL_FARTHEST_IN_TIME_SINGLETON_CLUTTER
R03ZF,352,R03_CONTROL_MEDIAN_TIME_SINGLETON_CLUTTER
R03ZF,324,R03_CONTROL_FARTHEST_IN_TIME_SINGLETON_CLUTTER
