run_id,optical_residual_state,sar_p0_residual_state,cross_modal_residual_relation,hypothesis_count
R01ZF,OPTICAL_RESIDUAL_ABOVE_COMMON,SAR_P0_RESIDUAL_ABOVE_COMMON,RESIDUAL_DIRECTION_CONCORDANT,5281
R01ZF,OPTICAL_RESIDUAL_ABOVE_COMMON,SAR_P0_RESIDUAL_BELOW_COMMON,RESIDUAL_DIRECTION_CONTRADICTORY,4312
R01ZF,OPTICAL_RESIDUAL_ABOVE_COMMON,SAR_P0_RESIDUAL_BOUNDARY_CENSORED,RESIDUAL_STRUCTURALLY_INDETERMINATE,54
R01ZF,OPTICAL_RESIDUAL_ABOVE_COMMON,SAR_P0_RESIDUAL_COMMON_COMPATIBLE,RESIDUAL_RELATION_WEAK_OR_UNRESOLVED,47
R01ZF,OPTICAL_RESIDUAL_ABOVE_COMMON,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,RESIDUAL_STRUCTURALLY_INDETERMINATE,2632
R01ZF,OPTICAL_RESIDUAL_COMMON_COMPATIBLE,SAR_P0_RESIDUAL_ABOVE_COMMON,RESIDUAL_RELATION_WEAK_OR_UNRESOLVED,3939
R01ZF,OPTICAL_RESIDUAL_COMMON_COMPATIBLE,SAR_P0_RESIDUAL_BELOW_COMMON,RESIDUAL_RELATION_WEAK_OR_UNRESOLVED,3229
R01ZF,OPTICAL_RESIDUAL_COMMON_COMPATIBLE,SAR_P0_RESIDUAL_COMMON_COMPATIBLE,RESIDUAL_RELATION_WEAK_OR_UNRESOLVED,26
R01ZF,OPTICAL_RESIDUAL_COMMON_COMPATIBLE,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,RESIDUAL_STRUCTURALLY_INDETERMINATE,2207
R01ZF,OPTICAL_RESIDUAL_COMMON_ESTIMATE_AMBIGUOUS,SAR_P0_RESIDUAL_ABOVE_COMMON,RESIDUAL_COMMON_ESTIMATE_AMBIGUOUS,399
R01ZF,OPTICAL_RESIDUAL_COMMON_ESTIMATE_AMBIGUOUS,SAR_P0_RESIDUAL_BELOW_COMMON,RESIDUAL_COMMON_ESTIMATE_AMBIGUOUS,321
R01ZF,OPTICAL_RESIDUAL_COMMON_ESTIMATE_AMBIGUOUS,SAR_P0_RESIDUAL_COMMON_COMPATIBLE,RESIDUAL_COMMON_ESTIMATE_AMBIGUOUS,6
R01ZF,OPTICAL_RESIDUAL_COMMON_ESTIMATE_AMBIGUOUS,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,RESIDUAL_COMMON_ESTIMATE_AMBIGUOUS,199
R01ZF,OPTICAL_RESIDUAL_DEFORMATION_OR_MIXED,SAR_P0_RESIDUAL_ABOVE_COMMON,RESIDUAL_STRUCTURALLY_INDETERMINATE,2404
R01ZF,OPTICAL_RESIDUAL_DEFORMATION_OR_MIXED,SAR_P0_RESIDUAL_BELOW_COMMON,RESIDUAL_STRUCTURALLY_INDETERMINATE,2008
R01ZF,OPTICAL_RESIDUAL_DEFORMATION_OR_MIXED,SAR_P0_RESIDUAL_COMMON_COMPATIBLE,RESIDUAL_STRUCTURALLY_INDETERMINATE,20
R01ZF,OPTICAL_RESIDUAL_DEFORMATION_OR_MIXED,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,RESIDUAL_STRUCTURALLY_INDETERMINATE,1123
R02ZF,OPTICAL_RESIDUAL_ABOVE_COMMON,SAR_P0_RESIDUAL_ABOVE_COMMON,RESIDUAL_DIRECTION_CONCORDANT,61
