case_name,status,path,window_id,raw_track_fragment_id,hypothesis_id
01_clear_common_motion,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\01_clear_common_motion.png,CMRW_E22867B31E53AF99B8BC,R03ZF_I01_T0004,
02_branch_above_common,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\02_branch_above_common.png,CMRW_15401386FB40E0B0F188,R02ZF_REUSED_R02ZF_PERSON021,
03_branch_below_common,CATEGORY_NOT_OBSERVED,,,,
04_optical_deformation,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\04_optical_deformation.png,CMRW_DC3459731B5565491CFA,R02ZF_REUSED_R02ZF_PERSON021,
05_common_estimator_disagreement,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\05_common_estimator_disagreement.png,CMRW_16AC7ACC8001689287C4,R01ZF_REUSED_R01ZF_PERSON001,
11_sar_p0_compatible,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\11_sar_p0_compatible.png,CMRW_E7238EC37F0DBD7D2036,R01ZF_REUSED_R01ZF_PERSON003,CMRH_C4EC9DCE1B2C4CD798BC
12_sar_above_p0,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\12_sar_above_p0.png,CMRW_4C4CE8AE8DF61B01838A,R01ZF_REUSED_R01ZF_PERSON001,CMRH_214FF7523887620379CD
13_sar_below_p0,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\13_sar_below_p0.png,CMRW_BDF425C7E92FEE2843DF,R01ZF_REUSED_R01ZF_PERSON003,CMRH_05C03E7AFAEF265A002C
14_sar_deformation,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\14_sar_deformation.png,CMRW_05A27BC2E94D86FC9B75,R01ZF_REUSED_R01ZF_PERSON002,CMRH_ACD0D197C2ECABFE2192
15_sar_boundary_censored,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\15_sar_boundary_censored.png,CMRW_728430301A103CD4598F,R01ZF_REUSED_R01ZF_PERSON003,CMRH_954A6A26D36A48664557
19_residual_concordant,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\19_residual_concordant.png,CMRW_E8085FC608B0D40E484D,R01ZF_REUSED_R01ZF_PERSON002,CMRH_357B5329BEA16BA83BF2
20_residual_contradictory,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\20_residual_contradictory.png,CMRW_E6916E0B4925B3BA0B4D,R01ZF_REUSED_R01ZF_PERSON003,CMRH_F6760EE8C1D832BD78CD
21_optical_clear_sar_ambiguous,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\21_optical_clear_sar_ambiguous.png,CMRW_05A27BC2E94D86FC9B75,R01ZF_REUSED_R01ZF_PERSON001,CMRH_E286A7740344EAD67DC9
23_possible_rescue_candidate,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\23_possible_rescue_candidate.png,CMRW_E8085FC608B0D40E484D,R01ZF_REUSED_R01ZF_PERSON001,CMRH_54DE34F0E6FE5FF36521
24_deceptive_candidate,OBSERVED,output\person_physics_guided_image_domain_study_20260824\cmr_d0_common_residual_motion_mechanism_development\figures\development_cases\24_deceptive_candidate.png,CMRW_E8085FC608B0D40E484D,R01ZF_REUSED_R01ZF_PERSON001,CMRH_70538A111AD6A9AB6201
