window_id,run_id,source_sar_frame,destination_sar_frame,branch_count,hypothesis_count,concordant_count,contradictory_count,weak_count,structural_indeterminate_count,unavailable_count,possible_rescue_candidate_gt_blind,manual_reference_used,rescue_established
CMRW_0122711FB081E0250C0B,R02ZF,474,475,2,55,0,0,25,30,0,False,False,False
CMRW_02B916E25DE01C3833D6,R01ZF,5,6,2,289,125,106,1,57,0,True,False,False
CMRW_05A27BC2E94D86FC9B75,R01ZF,70,71,3,392,179,120,0,93,0,True,False,False
CMRW_0BA3FE27FE0A69598EF1,R01ZF,75,76,3,397,0,0,195,202,0,False,False,False
CMRW_0C5EA017F503DC038E0D,R01ZF,45,46,3,600,0,0,478,122,0,False,False,False
CMRW_0DDF9231D24E5D9DE1B8,R03ZF,474,475,1,8,0,0,7,1,0,False,False,False
CMRW_0E5EC0A1BE8E9FCFF91B,R03ZF,492,493,1,24,0,0,17,7,0,False,False,False
CMRW_0EE82B57AEAA987BD4CB,R01ZF,114,115,1,64,31,19,0,14,0,True,False,False
CMRW_1002DA03ECD46636D5B2,R01ZF,92,93,2,263,106,89,0,68,0,True,False,False
CMRW_15401386FB40E0B0F188,R02ZF,489,490,4,225,24,16,125,60,0,True,False,False
CMRW_154BF8F99E0D0BA34038,R02ZF,479,480,2,91,0,0,56,35,0,False,False,False
CMRW_15A21F90AB27050B2B4B,R01ZF,10,11,2,459,0,0,198,261,0,False,False,False
CMRW_16AC7ACC8001689287C4,R01ZF,79,80,3,387,0,0,0,0,0,False,False,False
CMRW_18FC0EA7CF08F050203A,R03ZF,475,476,1,24,0,0,23,1,0,False,False,False
CMRW_1BD70BCC1D464BCB0329,R02ZF,485,486,3,193,8,2,143,40,0,True,False,False
CMRW_20292752F68DB2E50B5F,R01ZF,94,95,1,182,85,50,1,46,0,True,False,False
CMRW_2415BE2AD3212869B2ED,R01ZF,97,98,1,169,58,73,0,38,0,True,False,False
CMRW_31D794878EAF1EDFB8F2,R01ZF,85,86,3,228,95,70,2,61,0,True,False,False
CMRW_338B9109FC3FFB30535A,R01ZF,30,31,3,604,0,0,332,272,0,False,False,False
CMRW_36D566F122192D850DDB,R03ZF,487,488,1,9,0,0,7,2,0,False,False,False
CMRW_37899ACF1BA137FBDF99,R03ZF,485,486,1,16,0,0,12,4,0,False,False,False
CMRW_39DE1F7C929EEBFA9326,R01ZF,44,45,3,594,0,0,232,362,0,False,False,False
CMRW_3A309D16AC5CC588F7C6,R01ZF,105,106,1,156,68,61,0,27,0,True,False,False
CMRW_3AEAA95D92AA2859A506,R01ZF,32,33,3,810,0,0,482,328,0,False,False,False
CMRW_41209CADBA675E6B9FAD,R01ZF,84,85,3,201,89,57,18,37,0,True,False,False
CMRW_44B9020D97E098C5A0B0,R01ZF,77,78,3,389,0,0,106,283,0,False,False,False
CMRW_45F0E0C4E5FEB246BB50,R03ZF,482,483,1,30,0,0,25,5,0,False,False,False
CMRW_47FFF63537EF928897C7,R01ZF,102,103,1,156,59,59,0,38,0,True,False,False
CMRW_4C1CD406BFD2321E6C25,R01ZF,57,58,3,339,29,40,89,181,0,True,False,False
CMRW_4C4CE8AE8DF61B01838A,R01ZF,60,61,3,622,101,92,115,314,0,True,False,False
CMRW_4E5A8E580329492C0581,R01ZF,9,10,2,419,0,0,183,236,0,False,False,False
CMRW_4EBBCB393094BCD560E8,R03ZF,459,460,1,1,0,0,0,1,0,False,False,False
CMRW_4F7D36D6B89922A241F1,R03ZF,490,491,1,42,0,0,32,10,0,False,False,False
CMRW_4FB019FC6955DF1396A7,R02ZF,480,481,2,77,0,0,50,27,0,False,False,False
CMRW_517AB5810B123DDDD621,R02ZF,492,493,4,479,0,0,407,72,0,False,False,False
CMRW_533964D21DB9C06C40A3,R01ZF,112,113,1,90,26,34,0,30,0,True,False,False
CMRW_535A0705B1229B3587D3,R01ZF,17,18,3,603,0,0,476,127,0,False,False,False
CMRW_546591307732AE2C1D93,R01ZF,34,35,3,616,0,0,477,139,0,False,False,False
CMRW_56E49AEAD657554D60AE,R01ZF,52,53,3,546,124,109,99,214,0,True,False,False
CMRW_5D9991C840E006A84EB2,R01ZF,67,68,3,498,0,0,0,498,0,False,False,False
CMRW_5F524248335024CF1396,R01ZF,20,21,3,522,191,144,0,187,0,True,False,False
CMRW_604C4CBC29E08970C0BD,R03ZF,460,461,1,3,0,0,3,0,0,False,False,False
CMRW_647218ED24B5BC1097F0,R01ZF,2,3,2,266,133,87,2,44,0,True,False,False
