raw_track_fragment_id,run_id,offline_target_id,grounding_state,assigned_frame_count,unique_target_count,dominant_target_fraction,grounding_reason,provenance,interface_semantics,runtime_use_allowed,common_motion_use_allowed,residual_calculation_use_allowed
R01ZF_REUSED_R01ZF_PERSON001,R01ZF,R01ZF_SARPERSON02,LIKELY,26,1,1.0,FRAME_LEVEL_OFFLINE_GEOMETRIC_ASSIGNMENT_CONSISTENT_ACROSS_MULTIPLE_FRAMES,output\person_physics_guided_image_domain_study_20260824\p1e_sar_only_response_interface\runtime_track_response_region_minimal_v1\offline_one_to_one_track_reference_assignment.csv,OFFLINE_EVALUATION_REFERENCE_GEOMETRIC_NOT_RUNTIME_IDENTITY,False,False,False
R01ZF_REUSED_R01ZF_PERSON002,R01ZF,R01ZF_SARPERSON03,LIKELY,25,1,1.0,FRAME_LEVEL_OFFLINE_GEOMETRIC_ASSIGNMENT_CONSISTENT_ACROSS_MULTIPLE_FRAMES,output\person_physics_guided_image_domain_study_20260824\p1e_sar_only_response_interface\runtime_track_response_region_minimal_v1\offline_one_to_one_track_reference_assignment.csv,OFFLINE_EVALUATION_REFERENCE_GEOMETRIC_NOT_RUNTIME_IDENTITY,False,False,False
R01ZF_REUSED_R01ZF_PERSON003,R01ZF,R01ZF_SARPERSON01,LIKELY,28,1,1.0,FRAME_LEVEL_OFFLINE_GEOMETRIC_ASSIGNMENT_CONSISTENT_ACROSS_MULTIPLE_FRAMES,output\person_physics_guided_image_domain_study_20260824\p1e_sar_only_response_interface\runtime_track_response_region_minimal_v1\offline_one_to_one_track_reference_assignment.csv,OFFLINE_EVALUATION_REFERENCE_GEOMETRIC_NOT_RUNTIME_IDENTITY,False,False,False
R01ZF_REUSED_R01ZF_PERSON100001,R01ZF,R01ZF_SARPERSON01,UNRESOLVED,1,1,1.0,ONLY_SINGLE_FRAME_OFFLINE_GEOMETRIC_ASSIGNMENT,output\person_physics_guided_image_domain_study_20260824\p1e_sar_only_response_interface\runtime_track_response_region_minimal_v1\offline_one_to_one_track_reference_assignment.csv,OFFLINE_EVALUATION_REFERENCE_GEOMETRIC_NOT_RUNTIME_IDENTITY,False,False,False
R02ZF_REUSED_R02ZF_PERSON017,R02ZF,R02ZF_SARPERSON01,LIKELY,9,1,1.0,FRAME_LEVEL_OFFLINE_GEOMETRIC_ASSIGNMENT_CONSISTENT_ACROSS_MULTIPLE_FRAMES,output\person_physics_guided_image_domain_study_20260824\p1e_sar_only_response_interface\runtime_track_response_region_minimal_v1\offline_one_to_one_track_reference_assignment.csv,OFFLINE_EVALUATION_REFERENCE_GEOMETRIC_NOT_RUNTIME_IDENTITY,False,False,False
R02ZF_REUSED_R02ZF_PERSON018,R02ZF,R02ZF_SARPERSON02,LIKELY,9,1,1.0,FRAME_LEVEL_OFFLINE_GEOMETRIC_ASSIGNMENT_CONSISTENT_ACROSS_MULTIPLE_FRAMES,output\person_physics_guided_image_domain_study_20260824\p1e_sar_only_response_interface\runtime_track_response_region_minimal_v1\offline_one_to_one_track_reference_assignment.csv,OFFLINE_EVALUATION_REFERENCE_GEOMETRIC_NOT_RUNTIME_IDENTITY,False,False,False
R02ZF_REUSED_R02ZF_PERSON021,R02ZF,R02ZF_SARPERSON03,LIKELY,6,1,1.0,FRAME_LEVEL_OFFLINE_GEOMETRIC_ASSIGNMENT_CONSISTENT_ACROSS_MULTIPLE_FRAMES,output\person_physics_guided_image_domain_study_20260824\p1e_sar_only_response_interface\runtime_track_response_region_minimal_v1\offline_one_to_one_track_reference_assignment.csv,OFFLINE_EVALUATION_REFERENCE_GEOMETRIC_NOT_RUNTIME_IDENTITY,False,False,False
R02ZF_REUSED_R02ZF_PERSON023,R02ZF,R02ZF_SARPERSON04,LIKELY,2,1,1.0,FRAME_LEVEL_OFFLINE_GEOMETRIC_ASSIGNMENT_CONSISTENT_ACROSS_MULTIPLE_FRAMES,output\person_physics_guided_image_domain_study_20260824\p1e_sar_only_response_interface\runtime_track_response_region_minimal_v1\offline_one_to_one_track_reference_assignment.csv,OFFLINE_EVALUATION_REFERENCE_GEOMETRIC_NOT_RUNTIME_IDENTITY,False,False,False
R02ZF_REUSED_R02ZF_PERSON024,R02ZF,R02ZF_SARPERSON04,LIKELY,2,1,1.0,FRAME_LEVEL_OFFLINE_GEOMETRIC_ASSIGNMENT_CONSISTENT_ACROSS_MULTIPLE_FRAMES,output\person_physics_guided_image_domain_study_20260824\p1e_sar_only_response_interface\runtime_track_response_region_minimal_v1\offline_one_to_one_track_reference_assignment.csv,OFFLINE_EVALUATION_REFERENCE_GEOMETRIC_NOT_RUNTIME_IDENTITY,False,False,False
R03ZF_I01_T0004,R03ZF,R03ZF_SARPERSON01,LIKELY,4,1,1.0,FRAME_LEVEL_OFFLINE_GEOMETRIC_ASSIGNMENT_CONSISTENT_ACROSS_MULTIPLE_FRAMES,output\person_physics_guided_image_domain_study_20260824\p1e_sar_only_response_interface\runtime_track_response_region_minimal_v1\offline_one_to_one_track_reference_assignment.csv,OFFLINE_EVALUATION_REFERENCE_GEOMETRIC_NOT_RUNTIME_IDENTITY,False,False,False
