run_id,source_sar_frame,destination_sar_frame,source_region_id,destination_region_id,p0_model,p0_holdout_residual_p90_px,p0_angular_uncertainty_deg,predicted_theta_low_deg,predicted_theta_high_deg,observed_theta_low_deg,observed_theta_high_deg,sar_residual_left_low_deg,sar_residual_left_high_deg,sar_residual_right_low_deg,sar_residual_right_high_deg,sar_residual_mid_descriptor_deg,sar_width_change_deg,sar_p0_residual_state_core,sar_observability_state,sar_p0_residual_state,soft_intersection_px,source_total_retention,destination_explained_fraction,soft_iou,source_touches_boundary,destination_touches_boundary,source_truncated,destination_truncated,reference_used,person_motion_claimed,p0_supported_destination_count,p0_supported_source_count,sar_topology_state
R04ZF,0,1,R04ZF_SARF000000__Q095__R0001,R04ZF_SARF000001__Q095__R0005,M1,0.4733297626548643,0.177588824979658,-34.000764189956584,-22.91470082095952,-24.49527931213379,-15.738655090332031,9.327896052843137,9.683073702802453,6.998456905647831,7.353634555607147,8.340765304225144,-2.3294391471953055,SAR_P0_RESIDUAL_ABOVE_COMMON,SAR_RESIDUAL_FULLY_OBSERVABLE,SAR_P0_RESIDUAL_ABOVE_COMMON,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0,0,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED
R04ZF,0,1,R04ZF_SARF000000__Q095__R0001,R04ZF_SARF000001__Q095__R0008,M1,0.4733297626548643,0.177588824979658,-34.000764189956584,-22.91470082095952,-33.92368698120117,-30.20833969116211,-0.10051161622424587,0.25466603373507013,-7.471227695182247,-7.116050045222931,-3.6082808307235865,-7.370716078958001,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,SAR_RESIDUAL_FULLY_OBSERVABLE,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0,0,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED
R04ZF,0,1,R04ZF_SARF000000__Q095__R0001,R04ZF_SARF000001__Q095__R0009,M1,0.4733297626548643,0.177588824979658,-34.000764189956584,-22.91470082095952,-13.355291366577148,-1.3861920833587646,20.467883998399778,20.823061648359094,21.350919912621098,21.706097562580414,21.086990780490098,0.8830359142213204,SAR_P0_RESIDUAL_ABOVE_COMMON,SAR_RESIDUAL_FULLY_OBSERVABLE,SAR_P0_RESIDUAL_ABOVE_COMMON,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0,0,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED
R04ZF,0,1,R04ZF_SARF000000__Q095__R0001,R04ZF_SARF000001__Q095__R0010,M1,0.4733297626548643,0.177588824979658,-34.000764189956584,-22.91470082095952,-19.755207061767575,-11.364081382751465,14.067968303209351,14.423145953168667,11.373030613228398,11.728208263187714,12.898088283198534,-2.6949376899809536,SAR_P0_RESIDUAL_ABOVE_COMMON,SAR_RESIDUAL_FULLY_OBSERVABLE,SAR_P0_RESIDUAL_ABOVE_COMMON,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0,0,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED
R04ZF,0,1,R04ZF_SARF000000__Q095__R0001,R04ZF_SARF000001__Q095__R0011,M1,0.4733297626548643,0.177588824979658,-34.000764189956584,-22.91470082095952,-17.511449813842773,-13.407896041870115,16.311725551134153,16.66690320109347,9.329215954109747,9.684393604069063,12.998059577601609,-6.982509597024405,SAR_P0_RESIDUAL_ABOVE_COMMON,SAR_RESIDUAL_FULLY_OBSERVABLE,SAR_P0_RESIDUAL_ABOVE_COMMON,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0,0,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED
R04ZF,0,1,R04ZF_SARF000000__Q095__R0001,R04ZF_SARF000001__Q095__R0012,M1,0.4733297626548643,0.177588824979658,-34.000764189956584,-22.91470082095952,-22.38150978088379,-18.553142547607425,11.441665584093137,11.796843234052453,4.183969448372437,4.539147098331753,7.990406341212449,-7.2576961357207,SAR_P0_RESIDUAL_ABOVE_COMMON,SAR_RESIDUAL_FULLY_OBSERVABLE,SAR_P0_RESIDUAL_ABOVE_COMMON,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0,0,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED
R04ZF,0,1,R04ZF_SARF000000__Q095__R0001,R04ZF_SARF000001__Q095__R0014,M1,0.4733297626548643,0.177588824979658,-34.000764189956584,-22.91470082095952,-36.99111175537109,-30.574684143066406,-3.1679363903941606,-2.8127587404348446,-7.837572147086544,-7.482394497127228,-5.325165443760696,-4.669635756692383,SAR_P0_RESIDUAL_BELOW_COMMON,SAR_RESIDUAL_FULLY_OBSERVABLE,SAR_P0_RESIDUAL_BELOW_COMMON,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0,0,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED
R04ZF,0,1,R04ZF_SARF000000__Q095__R0001,R04ZF_SARF000001__Q095__R0015,M1,0.4733297626548643,0.177588824979658,-34.000764189956584,-22.91470082095952,-32.949703216552734,-23.41901588439941,0.8734721484241916,1.2286497983835076,-0.6819038884195479,-0.32672623846023185,0.2733729549819799,-1.5553760368437395,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,SAR_RESIDUAL_FULLY_OBSERVABLE,SAR_P0_RESIDUAL_DEFORMATION_OR_MIXED,343.46484375,0.8236566996402878,0.9702396716101694,0.8033604692596552,False,False,False,False,False,False,1,1,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED
R04ZF,0,1,R04ZF_SARF000000__Q095__R0001,R04ZF_SARF000001__Q095__R0019,M1,0.4733297626548643,0.177588824979658,-34.000764189956584,-22.91470082095952,-39.07633590698242,-31.41465377807617,-5.253160542005496,-4.89798289204618,-8.677541782096306,-8.32236413213699,-6.787762337071243,-3.42438124009081,SAR_P0_RESIDUAL_BELOW_COMMON,SAR_RESIDUAL_FULLY_OBSERVABLE,SAR_P0_RESIDUAL_BELOW_COMMON,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0,0,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED
R04ZF,0,1,R04ZF_SARF000000__Q095__R0001,R04ZF_SARF000001__Q095__R0022,M1,0.4733297626548643,0.177588824979658,-34.000764189956584,-22.91470082095952,-19.064395904541016,-12.908239364624023,14.75877946043591,15.113957110395226,9.82887263135584,10.184050281315155,12.471414870875535,-4.929906829080071,SAR_P0_RESIDUAL_ABOVE_COMMON,SAR_RESIDUAL_FULLY_OBSERVABLE,SAR_P0_RESIDUAL_ABOVE_COMMON,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0,0,P0_ONE_TO_ONE_LIKE_OR_UNSUPPORTED
