window_id,run_id,source_sar_frame,destination_sar_frame,branch_count,hypothesis_count,optical_state_count,sar_state_count,relation_state_count
CMRW_02EB8FF2A2CA74D58542,R04ZF,54,55,2,386,1,4,2
CMRW_0559ED45C3447C0A146B,R04ZF,25,26,2,390,1,3,2
CMRW_0F73590003263AA9B85B,R04ZF,87,88,2,282,1,3,2
CMRW_11844D595169699AFFD3,R04ZF,0,1,2,328,1,3,2
CMRW_14FAAB59A9C400DA4BB1,R04ZF,102,103,1,323,1,4,2
CMRW_1A99B4029614D7BF4065,R04ZF,44,45,2,384,1,4,2
CMRW_21BD7EF1DD96D5D97383,R04ZF,29,30,2,390,1,3,2
CMRW_25FA56966EE12F654A44,R04ZF,7,8,2,314,1,4,2
CMRW_28205950183EC19DA262,R04ZF,84,85,2,358,1,3,2
CMRW_288D6E69CE5709E63D8E,R04ZF,75,76,3,762,1,3,2
CMRW_29438A9E826D3513A2D7,R04ZF,115,116,1,240,1,4,2
CMRW_29F04999FFD3CE8C210D,R04ZF,40,41,2,407,1,4,2
CMRW_31EBC41439CAA5AD238A,R04ZF,109,110,1,240,1,4,2
CMRW_3B31A7A295BAD94A7B4A,R04ZF,64,65,3,888,1,3,2
CMRW_3F0804AED0B4246F63F8,R04ZF,79,80,3,703,1,3,2
CMRW_434C54E39AA0C6D3B2FF,R04ZF,117,118,1,323,1,3,2
CMRW_46E33C97DD35CB4C6F2E,R04ZF,110,111,1,285,1,4,2
CMRW_47B13CAD702BFC2D9B30,R04ZF,160,161,1,16,1,3,2
CMRW_49D9349C3EC4DE944248,R04ZF,92,93,2,315,1,4,2
CMRW_4A04439F525A61DFCFCC,R04ZF,157,158,1,40,1,3,2
CMRW_4ADCFD00C28615C56B4C,R04ZF,94,95,2,429,1,3,2
CMRW_4AF0CC4C531B8A87FC15,R04ZF,10,11,2,270,1,3,2
CMRW_4C99C0EB867E90FC9BB6,R04ZF,137,138,1,266,1,3,2
CMRW_5183DEB055E7B99A4C24,R04ZF,95,96,2,429,1,3,2
CMRW_520209D0AC31098992C2,R04ZF,22,23,2,449,1,3,2
CMRW_54960940797C56288A8A,R04ZF,74,75,3,882,1,3,2
CMRW_574AFF8B7D3F9B3833A5,R04ZF,155,156,1,56,1,3,2
CMRW_57D05D42899E0EAD48CE,R04ZF,15,16,2,522,1,4,2
CMRW_5AC2D5A37668D96F2C32,R04ZF,97,98,1,342,1,4,2
CMRW_5D5E0B80A6225E620173,R04ZF,125,126,1,380,1,3,2
CMRW_5E7DC38D519A8314DDB8,R04ZF,112,113,1,252,1,4,2
CMRW_61FF50902822D3CFCD2D,R04ZF,27,28,2,426,1,3,2
CMRW_625F100C950D7EF8F253,R04ZF,154,155,1,64,1,3,2
CMRW_632B2A6783625D0D442B,R04ZF,60,61,2,355,1,3,2
CMRW_63699252088129E3F123,R04ZF,129,130,1,306,1,4,2
CMRW_6519020B5D03C799FA56,R04ZF,99,100,1,484,1,3,2
CMRW_65B37F3C13C13B958BCA,R04ZF,119,120,1,272,1,3,2
CMRW_689CA26C159445410BA8,R04ZF,17,18,2,455,1,4,2
CMRW_690754181E59ADBA0B8F,R04ZF,37,38,2,460,1,4,2
CMRW_6C572D1A324D4DEACE47,R04ZF,5,6,2,330,1,3,2
CMRW_71876438A9651485B777,R04ZF,122,123,1,342,1,4,2
CMRW_7572B9C541142D1FC78A,R04ZF,77,78,3,748,1,4,2
CMRW_761D80E0C1EF27F52E82,R04ZF,55,56,2,348,1,4,2
CMRW_76328920095FE5768CCF,R04ZF,69,70,3,943,1,3,2
CMRW_7632C19BFE1707DB0A8B,R04ZF,124,125,1,380,1,3,2
CMRW_7D509B78BC759DE4B1BA,R04ZF,100,101,1,418,1,4,2
CMRW_7D5AA592AA48129F4E8A,R04ZF,35,36,1,255,1,3,2
CMRW_7DECA3D309714C5F7000,R04ZF,139,140,1,270,1,3,2
CMRW_7FBEF79942DBA7F698A5,R04ZF,162,163,1,12,1,3,2
CMRW_8529BB55506D82F76625,R04ZF,127,128,1,380,1,4,2
CMRW_8692506ECF1F9CAA1410,R04ZF,140,141,1,288,1,3,2
CMRW_86DDC340DB916929DC2D,R04ZF,89,90,2,369,1,3,2
CMRW_8CDB4FFA2048A18CCEF3,R04ZF,59,60,2,295,1,3,2
CMRW_8CFF9630AD0680053162,R04ZF,4,5,2,395,1,4,2
CMRW_8EBE2757BEAE9014AA42,R04ZF,104,105,1,256,1,3,2
CMRW_916B7E20805219E14996,R04ZF,47,48,2,361,1,4,2
CMRW_931CEBA500B89064C9A9,R04ZF,14,15,2,546,1,4,2
CMRW_9900CFA30DF94BCB58A8,R04ZF,72,73,3,1059,1,3,2
CMRW_9CA245CBF4A3EEEA9056,R04ZF,80,81,3,634,1,3,2
CMRW_9EA6082A7018000E800A,R04ZF,147,148,1,130,1,3,2
CMRW_9FA802C8D8A2A22F3994,R04ZF,107,108,1,304,1,3,2
CMRW_A1605CC41E1D49DB365F,R04ZF,45,46,2,416,1,4,2
CMRW_A1CF8745E101776A5DAA,R04ZF,120,121,1,304,1,3,2
CMRW_A1E1DD307126A20109DC,R04ZF,142,143,1,225,1,3,2
CMRW_A64B54DA0C4428693041,R04ZF,90,91,2,345,1,3,2
CMRW_A9A774C674EC6575A299,R04ZF,144,145,1,195,1,3,2
CMRW_AE5FB07DAA77CEFDA51D,R04ZF,135,136,1,323,1,3,2
CMRW_B2ECA63CB1812622653E,R04ZF,12,13,2,298,1,3,2
CMRW_B3CC460A557F61FAF6D7,R04ZF,52,53,2,468,1,4,2
CMRW_B5006F053F4D2A39A47C,R04ZF,134,135,1,272,1,3,2
CMRW_B501C818A244AE20C9E4,R04ZF,130,131,1,306,1,3,2
CMRW_BB6A2217E0C377A17A22,R04ZF,85,86,2,336,1,4,2
CMRW_C004A17C13B001D17A12,R04ZF,32,33,1,306,1,4,2
CMRW_C7AC82F18F61CCBB9AF8,R04ZF,42,43,2,347,1,4,2
CMRW_C930B6579CCF91674939,R04ZF,65,66,3,848,1,3,2
CMRW_C9655BECF533F5600D50,R04ZF,114,115,1,240,1,3,2
CMRW_CA0F6432515BDB77DF5E,R04ZF,145,146,1,165,1,3,2
CMRW_D06D3DFC661043CAC738,R04ZF,39,40,2,379,1,4,2
CMRW_D276BE246509C3973E1D,R04ZF,34,35,1,289,1,3,2
CMRW_D829A237F69D0D57ADD4,R04ZF,9,10,2,324,1,3,2
CMRW_DB05612A9E7C7F45F824,R04ZF,67,68,3,878,1,3,2
CMRW_DB9CB349C83A0DCCF47F,R04ZF,20,21,2,453,1,4,2
CMRW_DBD8E2A141BE42BE845F,R04ZF,82,83,3,693,1,3,2
CMRW_DF19C117CAB7E74C92C9,R04ZF,30,31,2,369,1,3,2
CMRW_E4C4FA3713FDAF63D7BD,R04ZF,105,106,1,256,1,3,2
CMRW_E63AE39774FAE549BF88,R04ZF,24,25,2,434,1,3,2
CMRW_E6964B91A33FDDB1D757,R04ZF,152,153,1,72,1,4,2
CMRW_E8958A57705D2B3AE505,R04ZF,19,20,2,572,1,4,2
CMRW_EBE3A8693B19D61134D2,R04ZF,57,58,2,383,1,3,2
CMRW_ECE733254BFD123CAA48,R04ZF,132,133,1,252,1,4,2
CMRW_EFD553E8C89511BF5E9E,R04ZF,149,150,1,120,1,4,2
CMRW_EFDF1D6CCC8CDC00A472,R04ZF,159,160,1,16,1,3,2
CMRW_F03C9F43FC1188F5F7C3,R04ZF,49,50,2,399,1,3,2
CMRW_F2ED2B0F3DA11EF31D03,R04ZF,62,63,3,713,1,4,2
CMRW_F6EEFD6C08958AA331FC,R04ZF,2,3,2,456,1,3,2
CMRW_F909F8975FA959F065BA,R04ZF,50,51,2,372,1,4,2
CMRW_F9BA5027A221D373C717,R04ZF,150,151,1,80,1,3,2
CMRW_FBDD65BD8AC47869BE10,R04ZF,70,71,3,1000,1,3,2
