run_id,pair_index,from_frame_uid,to_frame_uid,from_frame,to_frame,condition,base_edge_id,edge_id,source_region_id,source_region_label,destination_region_id,destination_region_label,p0_dx_px,p0_dy_px,applied_dx_px,applied_dy_px,pair_comparable,p0_model,p0_model_available,comparability_reason,pair_valid_fraction,p0_holdout_median_px,p0_holdout_p90_px,display_js_divergence,display_stratum,source_support_total,warped_support_before_valid_clip,warped_support_in_destination_valid,transport_out_of_frame_or_invalid,valid_transport_fraction,q95_support_intersection_soft,q95_conditional_valid_retention,q95_source_total_retention,q95_destination_explained_fraction,q95_soft_iou,q975_source_support_total,q975_warped_support_in_destination_valid,q975_to_q95_intersection_soft,q975_to_q95_core_retention,q975_to_q975_intersection_soft,q975_to_q975_core_retention,q90_source_support_total,q90_warped_support_in_destination_valid,q90_weak_envelope_intersection_soft,q90_weak_envelope_retention,source_area_m2,destination_area_m2,destination_to_source_area_ratio,source_theta_min_deg,source_theta_max_deg,source_theta_mid_deg,destination_theta_min_deg,destination_theta_max_deg,destination_theta_mid_deg,theta_midpoint_change_deg,source_range_min_m,source_range_max_m,source_range_mid_m,destination_range_min_m,destination_range_max_m,destination_range_mid_m,range_midpoint_change_m,source_touches_observable_boundary,destination_touches_observable_boundary,source_has_truncated_support,destination_has_truncated_support,destination_region_degree_shell_count,destination_region_degree_bin,destination_component_shell_count,destination_component_shell_count_bin,destination_component_region_count,destination_static_topology_state,reference_used,identity_assignment_performed,edge_selected_as_unique,destination_rank,destination_pool_count,destination_rank_percentile,reference_support_state,supported_target_ids,supported_target_count,shared_or_unresolved,source_manual_centers_json,destination_manual_centers_json
R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,P0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,P0__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,R02ZF_SARF000472__Q095__R0002,2,R02ZF_SARF000473__Q095__R0002,2,3.1621856689453125,0.0447701489483868,3.1621856689453125,0.0447701489483868,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,677.0,677.0,677.0,0.0,1.0,653.451171875,0.9652159111890696,0.9652159111890696,0.919059313466948,0.8895952819678321,525.0,525.0,523.5673828125,0.9972712053571428,510.9033203125,0.9731491815476192,858.0,858.0,819.1123046875,0.954676345789627,0.774414865285423,0.8133071923455476,1.0502215657311669,-50.29240417480469,-41.92386245727539,-46.10813331604004,-50.03391647338867,-41.76324462890625,-45.89858055114746,0.2095527648925781,7.53860774322513,8.624685417899327,8.081646580562229,7.462547104542106,8.550401108361097,8.006474106451602,-0.0751724741106265,False,False,False,False,0,0,0,0,1,REGION_NO_SHELL,False,False,False,1,60,1.0,REFERENCE_SUPPORTED_DYNAMIC_EXPLANATION,R02ZF_SARPERSON03;R02ZF_SARPERSON04,2,True,"[{""target_id"": ""R02ZF_SARPERSON03"", ""x_px"": 349.9263610839844, ""y_px"": 419.872299194336}, {""target_id"": ""R02ZF_SARPERSON04"", ""x_px"": 341.23826599121094, ""y_px"": 438.8774871826172}]","[{""target_id"": ""R02ZF_SARPERSON03"", ""x_px"": 353.40159606933594, ""y_px"": 418.4604797363281}, {""target_id"": ""R02ZF_SARPERSON04"", ""x_px"": 340.8038635253906, ""y_px"": 438.7688751220703}]"
R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,ZERO,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,ZERO__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,R02ZF_SARF000472__Q095__R0002,2,R02ZF_SARF000473__Q095__R0002,2,3.1621856689453125,0.0447701489483868,0.0,0.0,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,677.0,677.0,677.0,0.0,1.0,592.0,0.8744460856720827,0.8744460856720827,0.8326300984528833,0.7437185929648241,525.0,525.0,499.0,0.9504761904761904,450.0,0.8571428571428571,858.0,858.0,756.0,0.8811188811188811,0.774414865285423,0.8133071923455476,1.0502215657311669,-50.29240417480469,-41.92386245727539,-46.10813331604004,-50.03391647338867,-41.76324462890625,-45.89858055114746,0.2095527648925781,7.53860774322513,8.624685417899327,8.081646580562229,7.462547104542106,8.550401108361097,8.006474106451602,-0.0751724741106265,False,False,False,False,0,0,0,0,1,REGION_NO_SHELL,False,False,False,1,60,1.0,REFERENCE_SUPPORTED_DYNAMIC_EXPLANATION,R02ZF_SARPERSON03;R02ZF_SARPERSON04,2,True,"[{""target_id"": ""R02ZF_SARPERSON03"", ""x_px"": 349.9263610839844, ""y_px"": 419.872299194336}, {""target_id"": ""R02ZF_SARPERSON04"", ""x_px"": 341.23826599121094, ""y_px"": 438.8774871826172}]","[{""target_id"": ""R02ZF_SARPERSON03"", ""x_px"": 353.40159606933594, ""y_px"": 418.4604797363281}, {""target_id"": ""R02ZF_SARPERSON04"", ""x_px"": 340.8038635253906, ""y_px"": 438.7688751220703}]"
R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,P0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,P0__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__Q095__R0006,6,R02ZF_SARF000473__Q095__R0009,9,3.1621856689453125,0.0447701489483868,3.1621856689453125,0.0447701489483868,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,1404.0,1404.0,1404.0,0.0,1.0,372.052734375,0.2649948250534188,0.2649948250534188,0.944296280139594,0.2609161946896594,791.0,791.0,318.240234375,0.4023264657079646,222.5791015625,0.2813895089285714,3518.0,3518.0,3067.20703125,0.8718610094513929,1.6060243291886764,0.4506934371085032,0.2806267806267806,-36.04598236083984,-23.38577651977539,-29.715879440307614,-32.97560119628906,-28.719215393066406,-30.84740829467773,-1.1315288543701207,13.272709694752551,15.244139850739383,14.258424772745968,13.463311566642806,14.154150845853572,13.80873120624819,-0.4496935664977783,False,False,False,False,2,2,2,2,9,MULTIPLE_SHELLS_MULTIPLE_REGIONS,False,False,False,2,60,0.9830508474576272,REFERENCE_SUPPORTED_DYNAMIC_EXPLANATION,R02ZF_SARPERSON01;R02ZF_SARPERSON02,2,True,"[{""target_id"": ""R02ZF_SARPERSON01"", ""x_px"": 316.4052276611328, ""y_px"": 241.2499237060547}, {""target_id"": ""R02ZF_SARPERSON02"", ""x_px"": 297.0239562988281, ""y_px"": 240.8578109741211}]","[{""target_id"": ""R02ZF_SARPERSON01"", ""x_px"": 319.3740234375, ""y_px"": 241.3059310913086}, {""target_id"": ""R02ZF_SARPERSON02"", ""x_px"": 300.720947265625, ""y_px"": 241.2499237060547}]"
R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,ZERO,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,ZERO__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARF000472__Q095__R0006,6,R02ZF_SARF000473__Q095__R0009,9,3.1621856689453125,0.0447701489483868,0.0,0.0,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,1404.0,1404.0,1404.0,0.0,1.0,377.0,0.2685185185185185,0.2685185185185185,0.9568527918781726,0.2653061224489796,791.0,791.0,328.0,0.4146649810366624,225.0,0.2844500632111251,3518.0,3518.0,3026.0,0.8601478112563957,1.6060243291886764,0.4506934371085032,0.2806267806267806,-36.04598236083984,-23.38577651977539,-29.715879440307614,-32.97560119628906,-28.719215393066406,-30.84740829467773,-1.1315288543701207,13.272709694752551,15.244139850739383,14.258424772745968,13.463311566642806,14.154150845853572,13.80873120624819,-0.4496935664977783,False,False,False,False,2,2,2,2,9,MULTIPLE_SHELLS_MULTIPLE_REGIONS,False,False,False,2,60,0.9830508474576272,REFERENCE_SUPPORTED_DYNAMIC_EXPLANATION,R02ZF_SARPERSON01;R02ZF_SARPERSON02,2,True,"[{""target_id"": ""R02ZF_SARPERSON01"", ""x_px"": 316.4052276611328, ""y_px"": 241.2499237060547}, {""target_id"": ""R02ZF_SARPERSON02"", ""x_px"": 297.0239562988281, ""y_px"": 240.8578109741211}]","[{""target_id"": ""R02ZF_SARPERSON01"", ""x_px"": 319.3740234375, ""y_px"": 241.3059310913086}, {""target_id"": ""R02ZF_SARPERSON02"", ""x_px"": 300.720947265625, ""y_px"": 241.2499237060547}]"
R02ZF,10,R02ZF_SARF000482,R02ZF_SARF000483,482,483,P0,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0001,P0__R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0001,R02ZF_SARF000482__Q095__R0001,1,R02ZF_SARF000483__Q095__R0001,1,2.746452925701901,0.0497311653383237,2.746452925701901,0.0497311653383237,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.508678539379223,0.7793857323845625,2.535878092372124,0.0030684861629768,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,702.0,702.0,702.0,0.0,1.0,666.390625,0.9492743945868946,0.9492743945868946,0.8598588709677419,0.8220860078259026,534.0,534.0,531.84375,0.9959620786516854,504.28125,0.9443469101123596,925.0,925.0,880.84375,0.9522635135135136,0.8030121645943382,0.8865162785763705,1.103988603988604,-44.41036605834961,-36.1633415222168,-40.2868537902832,-43.61362838745117,-34.70704650878906,-39.16033744812012,1.126516342163086,6.6932876930835326,7.740275805078133,7.216781749080832,6.600353475749103,7.705998639050249,7.153176057399676,-0.0636056916811558,False,False,False,False,1,1,1,1,3,ONE_SHELL_MULTIPLE_REGIONS,False,False,False,1,50,1.0,REFERENCE_SUPPORTED_DYNAMIC_EXPLANATION,R02ZF_SARPERSON03;R02ZF_SARPERSON04,2,True,"[{""target_id"": ""R02ZF_SARPERSON03"", ""x_px"": 379.8992156982422, ""y_px"": 419.4612274169922}, {""target_id"": ""R02ZF_SARPERSON04"", ""x_px"": 371.0469055175781, ""y_px"": 439.2395629882813}]","[{""target_id"": ""R02ZF_SARPERSON03"", ""x_px"": 381.4901123046875, ""y_px"": 418.8437805175781}, {""target_id"": ""R02ZF_SARPERSON04"", ""x_px"": 375.7604064941406, ""y_px"": 438.5909118652344}]"
R02ZF,10,R02ZF_SARF000482,R02ZF_SARF000483,482,483,ZERO,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0001,ZERO__R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0001__TO__R02ZF_SARF000483__Q095__R0001,R02ZF_SARF000482__Q095__R0001,1,R02ZF_SARF000483__Q095__R0001,1,2.746452925701901,0.0497311653383237,0.0,0.0,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.508678539379223,0.7793857323845625,2.535878092372124,0.0030684861629768,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,702.0,702.0,702.0,0.0,1.0,583.0,0.8304843304843305,0.8304843304843305,0.752258064516129,0.6521252796420581,534.0,534.0,483.0,0.904494382022472,432.0,0.8089887640449438,925.0,925.0,786.0,0.8497297297297297,0.8030121645943382,0.8865162785763705,1.103988603988604,-44.41036605834961,-36.1633415222168,-40.2868537902832,-43.61362838745117,-34.70704650878906,-39.16033744812012,1.126516342163086,6.6932876930835326,7.740275805078133,7.216781749080832,6.600353475749103,7.705998639050249,7.153176057399676,-0.0636056916811558,False,False,False,False,1,1,1,1,3,ONE_SHELL_MULTIPLE_REGIONS,False,False,False,1,50,1.0,REFERENCE_SUPPORTED_DYNAMIC_EXPLANATION,R02ZF_SARPERSON03;R02ZF_SARPERSON04,2,True,"[{""target_id"": ""R02ZF_SARPERSON03"", ""x_px"": 379.8992156982422, ""y_px"": 419.4612274169922}, {""target_id"": ""R02ZF_SARPERSON04"", ""x_px"": 371.0469055175781, ""y_px"": 439.2395629882813}]","[{""target_id"": ""R02ZF_SARPERSON03"", ""x_px"": 381.4901123046875, ""y_px"": 418.8437805175781}, {""target_id"": ""R02ZF_SARPERSON04"", ""x_px"": 375.7604064941406, ""y_px"": 438.5909118652344}]"
R02ZF,10,R02ZF_SARF000482,R02ZF_SARF000483,482,483,P0,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0012__TO__R02ZF_SARF000483__Q095__R0008,P0__R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0012__TO__R02ZF_SARF000483__Q095__R0008,R02ZF_SARF000482__Q095__R0012,12,R02ZF_SARF000483__Q095__R0008,8,2.746452925701901,0.0497311653383237,2.746452925701901,0.0497311653383237,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.508678539379223,0.7793857323845625,2.535878092372124,0.0030684861629768,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,1191.0,1191.0,1191.0,0.0,1.0,1076.828125,0.9041378043660788,0.9041378043660788,0.9064209806397306,0.8269477675518064,772.0,772.0,772.0,1.0,733.046875,0.9495425841968912,4674.0,4674.0,2861.546875,0.6122265457851946,1.362375339076719,1.3589436631596492,0.9974811083123426,-28.10641288757324,-18.552379608154297,-23.32939624786377,-27.91763496398925,-18.647157669067383,-23.28239631652832,0.0469999313354492,12.760863702951228,13.919921050301935,13.340392376626582,12.762339676615987,13.706441586607893,13.23439063161194,-0.1060017450146411,False,False,False,False,2,2,2,2,9,MULTIPLE_SHELLS_MULTIPLE_REGIONS,False,False,False,1,50,1.0,REFERENCE_SUPPORTED_DYNAMIC_EXPLANATION,R02ZF_SARPERSON01;R02ZF_SARPERSON02,2,True,"[{""target_id"": ""R02ZF_SARPERSON01"", ""x_px"": 346.3510437011719, ""y_px"": 240.5888671875}, {""target_id"": ""R02ZF_SARPERSON02"", ""x_px"": 330.6130828857422, ""y_px"": 244.6384048461914}]","[{""target_id"": ""R02ZF_SARPERSON01"", ""x_px"": 352.24127197265625, ""y_px"": 241.2331161499024}, {""target_id"": ""R02ZF_SARPERSON02"", ""x_px"": 333.46617126464844, ""y_px"": 243.5339813232422}]"
R02ZF,10,R02ZF_SARF000482,R02ZF_SARF000483,482,483,ZERO,R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0012__TO__R02ZF_SARF000483__Q095__R0008,ZERO__R02ZF_SARF000482__R02ZF_SARF000482__Q095__R0012__TO__R02ZF_SARF000483__Q095__R0008,R02ZF_SARF000482__Q095__R0012,12,R02ZF_SARF000483__Q095__R0008,8,2.746452925701901,0.0497311653383237,0.0,0.0,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.508678539379223,0.7793857323845625,2.535878092372124,0.0030684861629768,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,1191.0,1191.0,1191.0,0.0,1.0,1016.0,0.8530646515533166,0.8530646515533166,0.8552188552188552,0.7454145267791636,772.0,772.0,767.0,0.993523316062176,666.0,0.8626943005181347,4674.0,4674.0,2741.0,0.5864356011981172,1.362375339076719,1.3589436631596492,0.9974811083123426,-28.10641288757324,-18.552379608154297,-23.32939624786377,-27.91763496398925,-18.647157669067383,-23.28239631652832,0.0469999313354492,12.760863702951228,13.919921050301935,13.340392376626582,12.762339676615987,13.706441586607893,13.23439063161194,-0.1060017450146411,False,False,False,False,2,2,2,2,9,MULTIPLE_SHELLS_MULTIPLE_REGIONS,False,False,False,1,50,1.0,REFERENCE_SUPPORTED_DYNAMIC_EXPLANATION,R02ZF_SARPERSON01;R02ZF_SARPERSON02,2,True,"[{""target_id"": ""R02ZF_SARPERSON01"", ""x_px"": 346.3510437011719, ""y_px"": 240.5888671875}, {""target_id"": ""R02ZF_SARPERSON02"", ""x_px"": 330.6130828857422, ""y_px"": 244.6384048461914}]","[{""target_id"": ""R02ZF_SARPERSON01"", ""x_px"": 352.24127197265625, ""y_px"": 241.2331161499024}, {""target_id"": ""R02ZF_SARPERSON02"", ""x_px"": 333.46617126464844, ""y_px"": 243.5339813232422}]"
R02ZF,15,R02ZF_SARF000487,R02ZF_SARF000488,487,488,P0,R02ZF_SARF000487__R02ZF_SARF000487__Q095__R0002__TO__R02ZF_SARF000488__Q095__R0001,P0__R02ZF_SARF000487__R02ZF_SARF000487__Q095__R0002__TO__R02ZF_SARF000488__Q095__R0001,R02ZF_SARF000487__Q095__R0002,2,R02ZF_SARF000488__Q095__R0001,1,3.014016426564349,0.0893880148242697,3.014016426564349,0.0893880148242697,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5064004434121622,0.5183873273916455,1.8689388669321343,0.1697450593617777,HIGH_GLOBAL_DISPLAY_DISTRIBUTION_CHANGE,1003.0,1003.0,1003.0,0.0,1.0,732.875,0.7306829511465603,0.7306829511465603,0.9655797101449276,0.712134094497753,769.0,769.0,665.59375,0.8655315344603381,591.15625,0.7687337451235371,1521.0,1521.0,927.21875,0.60961127547666,1.1473236482736768,0.8682140070186648,0.7567298105682951,-41.71758270263672,-32.44511413574219,-37.08134841918945,-40.87164688110352,-31.36233901977539,-36.11699295043945,0.96435546875,5.957165954697672,7.483742292797956,6.720454123747814,6.274520419534864,7.356793075387283,6.815656747461073,0.0952026237132592,False,False,False,False,4,3,5,3,16,MULTIPLE_SHELLS_MULTIPLE_REGIONS,False,False,False,1,40,1.0,REFERENCE_SUPPORTED_DYNAMIC_EXPLANATION,R02ZF_SARPERSON03;R02ZF_SARPERSON04,2,True,"[{""target_id"": ""R02ZF_SARPERSON03"", ""x_px"": 393.733627319336, ""y_px"": 419.45289611816406}, {""target_id"": ""R02ZF_SARPERSON04"", ""x_px"": 385.27577209472656, ""y_px"": 439.70045471191406}]","[{""target_id"": ""R02ZF_SARPERSON03"", ""x_px"": 397.7062683105469, ""y_px"": 418.4276885986328}, {""target_id"": ""R02ZF_SARPERSON04"", ""x_px"": 391.0425109863281, ""y_px"": 440.8538055419922}]"
R02ZF,15,R02ZF_SARF000487,R02ZF_SARF000488,487,488,ZERO,R02ZF_SARF000487__R02ZF_SARF000487__Q095__R0002__TO__R02ZF_SARF000488__Q095__R0001,ZERO__R02ZF_SARF000487__R02ZF_SARF000487__Q095__R0002__TO__R02ZF_SARF000488__Q095__R0001,R02ZF_SARF000487__Q095__R0002,2,R02ZF_SARF000488__Q095__R0001,1,3.014016426564349,0.0893880148242697,0.0,0.0,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5064004434121622,0.5183873273916455,1.8689388669321343,0.1697450593617777,HIGH_GLOBAL_DISPLAY_DISTRIBUTION_CHANGE,1003.0,1003.0,1003.0,0.0,1.0,693.0,0.6909272183449651,0.6909272183449651,0.9130434782608696,0.6482694106641721,769.0,769.0,654.0,0.8504551365409623,551.0,0.716514954486346,1521.0,1521.0,883.0,0.5805391190006575,1.1473236482736768,0.8682140070186648,0.7567298105682951,-41.71758270263672,-32.44511413574219,-37.08134841918945,-40.87164688110352,-31.36233901977539,-36.11699295043945,0.96435546875,5.957165954697672,7.483742292797956,6.720454123747814,6.274520419534864,7.356793075387283,6.815656747461073,0.0952026237132592,False,False,False,False,4,3,5,3,16,MULTIPLE_SHELLS_MULTIPLE_REGIONS,False,False,False,1,40,1.0,REFERENCE_SUPPORTED_DYNAMIC_EXPLANATION,R02ZF_SARPERSON03;R02ZF_SARPERSON04,2,True,"[{""target_id"": ""R02ZF_SARPERSON03"", ""x_px"": 393.733627319336, ""y_px"": 419.45289611816406}, {""target_id"": ""R02ZF_SARPERSON04"", ""x_px"": 385.27577209472656, ""y_px"": 439.70045471191406}]","[{""target_id"": ""R02ZF_SARPERSON03"", ""x_px"": 397.7062683105469, ""y_px"": 418.4276885986328}, {""target_id"": ""R02ZF_SARPERSON04"", ""x_px"": 391.0425109863281, ""y_px"": 440.8538055419922}]"
