supported_base_edge_id,supported_target_ids,supported_from_frame,supported_to_frame,control_rank,supported_match_cost,run_id,pair_index,from_frame_uid,to_frame_uid,from_frame,to_frame,condition,base_edge_id,edge_id,source_region_id,source_region_label,destination_region_id,destination_region_label,p0_dx_px,p0_dy_px,applied_dx_px,applied_dy_px,pair_comparable,p0_model,p0_model_available,comparability_reason,pair_valid_fraction,p0_holdout_median_px,p0_holdout_p90_px,display_js_divergence,display_stratum,source_support_total,warped_support_before_valid_clip,warped_support_in_destination_valid,transport_out_of_frame_or_invalid,valid_transport_fraction,q95_support_intersection_soft,q95_conditional_valid_retention,q95_source_total_retention,q95_destination_explained_fraction,q95_soft_iou,q975_source_support_total,q975_warped_support_in_destination_valid,q975_to_q95_intersection_soft,q975_to_q95_core_retention,q975_to_q975_intersection_soft,q975_to_q975_core_retention,q90_source_support_total,q90_warped_support_in_destination_valid,q90_weak_envelope_intersection_soft,q90_weak_envelope_retention,source_area_m2,destination_area_m2,destination_to_source_area_ratio,source_theta_min_deg,source_theta_max_deg,source_theta_mid_deg,destination_theta_min_deg,destination_theta_max_deg,destination_theta_mid_deg,theta_midpoint_change_deg,source_range_min_m,source_range_max_m,source_range_mid_m,destination_range_min_m,destination_range_max_m,destination_range_mid_m,range_midpoint_change_m,source_touches_observable_boundary,destination_touches_observable_boundary,source_has_truncated_support,destination_has_truncated_support,destination_region_degree_shell_count,destination_region_degree_bin,destination_component_shell_count,destination_component_shell_count_bin,destination_component_region_count,destination_static_topology_state,reference_used,identity_assignment_performed,edge_selected_as_unique,zero_q95_source_total_retention,zero_q95_conditional_valid_retention,zero_q95_destination_explained_fraction,zero_q95_soft_iou,delta_p0_source_total_retention,p0_destination_rank,p0_destination_pool_count,p0_destination_rank_percentile,source_node_frame_uid,source_node_region_id,source_node_q95_pixel_count,source_node_area_m2,source_node_touches_observable_boundary,source_node_has_truncated_support,source_node_region_degree_shell_count,source_node_region_degree_bin,source_node_component_shell_count,source_node_component_shell_count_bin,source_node_component_region_count,source_node_static_topology_state,source_node_structure_state,destination_node_frame_uid,destination_node_region_id,destination_node_q95_pixel_count,destination_node_area_m2,destination_node_touches_observable_boundary,destination_node_has_truncated_support,destination_node_region_degree_shell_count,destination_node_region_degree_bin,destination_node_component_shell_count,destination_node_component_shell_count_bin,destination_node_component_region_count,destination_node_static_topology_state,destination_node_structure_state,support_size_stratum,pre_reference_structural_control_cost,source_is_reference_mapped,destination_is_reference_mapped,reference_free_endpoint_pair,selection_semantics
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,R02ZF_SARPERSON03;R02ZF_SARPERSON04,472,473,1,0.3310697503757849,R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,P0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0016__TO__R02ZF_SARF000473__Q095__R0018,P0__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0016__TO__R02ZF_SARF000473__Q095__R0018,R02ZF_SARF000472__Q095__R0016,16,R02ZF_SARF000473__Q095__R0018,18,3.1621856689453125,0.0447701489483868,3.1621856689453125,0.0447701489483868,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,638.0,638.0,638.0,0.0,1.0,551.53125,0.8644690438871473,0.8644690438871473,0.7789989406779662,0.6942139007984895,316.0,316.0,315.82421875,0.999443730221519,238.8125,0.7557357594936709,987.0,987.0,879.521484375,0.89110586056231,0.7298030783635153,0.8098755164284778,1.109717868338558,-11.877052307128906,-7.729122638702393,-9.80308747291565,-11.331618309020996,-7.614691257476807,-9.4731547832489,0.329932689666748,16.462619072113835,17.628645492320814,17.045632282217326,16.432975740888708,17.99480875481258,17.213892247850644,0.1682599656333181,False,False,False,False,0,0,0,0,1,REGION_NO_SHELL,False,False,False,0.8463949843260188,0.8463949843260188,0.7627118644067796,0.6699751861042184,0.018074059561128508,1,60,1.0,R02ZF_SARF000472,R02ZF_SARF000472__Q095__R0016,638,0.7298030783635153,False,False,0,0,0,0,1,REGION_NO_SHELL,COMPACT_OR_UNRESOLVED_SHAPE,R02ZF_SARF000473,R02ZF_SARF000473__Q095__R0018,708,0.8098755164284778,False,False,0,0,0,0,1,REGION_NO_SHELL,COMPACT_OR_UNRESOLVED_SHAPE,LARGE_Q4,0.3383523139155976,False,False,True,ONE_EDGE_PER_SOURCE_MIN_PRE_REFERENCE_STRUCTURAL_CHANGE_COST_NO_TRANSPORT_METRIC
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,R02ZF_SARPERSON03;R02ZF_SARPERSON04,472,473,2,0.4568403612510617,R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,P0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0012__TO__R02ZF_SARF000473__Q095__R0013,P0__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0012__TO__R02ZF_SARF000473__Q095__R0013,R02ZF_SARF000472__Q095__R0012,12,R02ZF_SARF000473__Q095__R0013,13,3.1621856689453125,0.0447701489483868,3.1621856689453125,0.0447701489483868,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,592.0,592.0,592.0,0.0,1.0,567.603515625,0.958789722339527,0.958789722339527,0.7861544537742382,0.760458452722063,342.0,342.0,342.0,1.0,327.2353515625,0.9568285133406432,3299.0,3299.0,1682.3447265625,0.5099559644020916,0.6771840476351114,0.8258900040414703,1.2195945945945943,-18.88758659362793,-5.97467565536499,-12.43113112449646,-17.970914840698242,-3.544245481491089,-10.757580161094666,1.6735509634017944,7.00584317921142,7.659610747850706,7.332726963531063,6.86034778502085,7.6257144449572944,7.243031114989073,-0.0896958485419903,False,False,False,False,0,0,0,0,1,REGION_NO_SHELL,False,False,False,0.9087837837837838,0.9087837837837838,0.7451523545706371,0.6932989690721649,0.0500059385557432,1,60,1.0,R02ZF_SARF000472,R02ZF_SARF000472__Q095__R0012,592,0.6771840476351114,False,False,0,0,0,0,1,REGION_NO_SHELL,COMPACT_OR_UNRESOLVED_SHAPE,R02ZF_SARF000473,R02ZF_SARF000473__Q095__R0013,722,0.8258900040414703,False,False,0,0,0,0,1,REGION_NO_SHELL,EXTENDED_OR_RIDGE_RESPONSE,LARGE_Q4,0.6229245452311697,False,False,True,ONE_EDGE_PER_SOURCE_MIN_PRE_REFERENCE_STRUCTURAL_CHANGE_COST_NO_TRANSPORT_METRIC
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,R02ZF_SARPERSON03;R02ZF_SARPERSON04,472,473,3,0.6107155242760158,R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,P0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0007__TO__R02ZF_SARF000473__Q095__R0012,P0__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0007__TO__R02ZF_SARF000473__Q095__R0012,R02ZF_SARF000472__Q095__R0007,7,R02ZF_SARF000473__Q095__R0012,12,3.1621856689453125,0.0447701489483868,3.1621856689453125,0.0447701489483868,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,916.0,916.0,916.0,0.0,1.0,787.841796875,0.8600892978984717,0.8600892978984717,0.9607826791158536,0.8309180833729867,683.0,683.0,659.5888671875,0.9657230851939972,541.90625,0.7934205710102489,1175.0,1175.0,1060.7294921875,0.9027485039893616,1.0478050466786522,0.937991417332418,0.8951965065502184,27.56071281433105,34.63222885131836,31.096470832824707,27.91341781616211,34.45205307006836,31.182735443115234,0.0862646102905273,14.127948700781111,15.222864154829097,14.675406427805104,14.203395726636373,15.279233963029968,14.74131484483317,0.0659084170280657,False,False,False,False,0,0,0,0,1,REGION_NO_SHELL,False,False,False,0.8460698689956332,0.8460698689956332,0.945121951219512,0.8064516129032258,0.014019428902838471,1,60,1.0,R02ZF_SARF000472,R02ZF_SARF000472__Q095__R0007,916,1.0478050466786522,False,False,0,0,0,0,1,REGION_NO_SHELL,EXTENDED_OR_RIDGE_RESPONSE,R02ZF_SARF000473,R02ZF_SARF000473__Q095__R0012,820,0.937991417332418,False,False,0,0,0,0,1,REGION_NO_SHELL,COMPACT_OR_UNRESOLVED_SHAPE,LARGE_Q4,0.19387336350200252,False,False,True,ONE_EDGE_PER_SOURCE_MIN_PRE_REFERENCE_STRUCTURAL_CHANGE_COST_NO_TRANSPORT_METRIC
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,R02ZF_SARPERSON03;R02ZF_SARPERSON04,472,473,4,0.7406153575765846,R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,P0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0003__TO__R02ZF_SARF000473__Q095__R0003,P0__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0003__TO__R02ZF_SARF000473__Q095__R0003,R02ZF_SARF000472__Q095__R0003,3,R02ZF_SARF000473__Q095__R0003,3,3.1621856689453125,0.0447701489483868,3.1621856689453125,0.0447701489483868,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,962.0,962.0,962.0,0.0,1.0,843.548828125,0.8768698837058212,0.8768698837058212,0.970712115218642,0.8542689017455373,712.0,712.0,705.572265625,0.9909722831811798,647.580078125,0.909522581636236,1344.0,1344.0,1158.736328125,0.8621550060453869,1.100424077407056,0.9940421239778916,0.9033264033264036,42.356544494628906,47.55048370361328,44.95351409912109,42.64571762084961,47.254913330078125,44.95031547546387,-0.0031986236572265,18.06065782324924,19.306703691223984,18.68368075723661,18.154599934488303,19.35451904506574,18.754559489777023,0.0708787325404145,False,False,False,False,0,0,0,0,1,REGION_NO_SHELL,False,False,False,0.8066528066528067,0.8066528066528067,0.8929804372842347,0.7355450236966825,0.0702170770530145,1,60,1.0,R02ZF_SARF000472,R02ZF_SARF000472__Q095__R0003,962,1.100424077407056,False,False,0,0,0,0,1,REGION_NO_SHELL,COMPACT_OR_UNRESOLVED_SHAPE,R02ZF_SARF000473,R02ZF_SARF000473__Q095__R0003,869,0.9940421239778916,False,False,0,0,0,0,1,REGION_NO_SHELL,COMPACT_OR_UNRESOLVED_SHAPE,LARGE_Q4,0.1731897826721741,False,False,True,ONE_EDGE_PER_SOURCE_MIN_PRE_REFERENCE_STRUCTURAL_CHANGE_COST_NO_TRANSPORT_METRIC
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0002__TO__R02ZF_SARF000473__Q095__R0002,R02ZF_SARPERSON03;R02ZF_SARPERSON04,472,473,5,0.9377300134347546,R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,P0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0001,P0__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0001__TO__R02ZF_SARF000473__Q095__R0001,R02ZF_SARF000472__Q095__R0001,1,R02ZF_SARF000473__Q095__R0001,1,3.1621856689453125,0.0447701489483868,3.1621856689453125,0.0447701489483868,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,682.0,682.0,682.0,0.0,1.0,671.7958984375,0.9850379742485336,0.9850379742485336,0.5801346273208118,0.575067231435806,502.0,502.0,502.0,1.0,495.0771484375,0.9862094590388446,1496.0,1496.0,1395.1923828125,0.9326152291527406,0.780134325147206,1.324626903988951,1.6979472140762464,18.847064971923828,23.105337142944336,20.97620105743408,18.98194694519043,25.4206600189209,22.201303482055664,1.225102424621582,17.413811848593085,18.37635517219917,17.895083510396127,17.368242451880363,18.750548557146768,18.059395504513567,0.1643119941174404,False,False,False,False,0,0,0,0,1,REGION_NO_SHELL,False,False,False,0.907624633431085,0.907624633431085,0.5345423143350605,0.506961506961507,0.07741334081744855,1,60,1.0,R02ZF_SARF000472,R02ZF_SARF000472__Q095__R0001,682,0.780134325147206,False,False,0,0,0,0,1,REGION_NO_SHELL,COMPACT_OR_UNRESOLVED_SHAPE,R02ZF_SARF000473,R02ZF_SARF000473__Q095__R0001,1158,1.324626903988951,False,False,0,0,0,0,1,REGION_NO_SHELL,EXTENDED_OR_RIDGE_RESPONSE,LARGE_Q4,0.9387524793312352,False,False,True,ONE_EDGE_PER_SOURCE_MIN_PRE_REFERENCE_STRUCTURAL_CHANGE_COST_NO_TRANSPORT_METRIC
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARPERSON01;R02ZF_SARPERSON02,472,473,1,1.972467698465216,R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,P0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0023__TO__R02ZF_SARF000473__Q095__R0021,P0__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0023__TO__R02ZF_SARF000473__Q095__R0021,R02ZF_SARF000472__Q095__R0023,23,R02ZF_SARF000473__Q095__R0021,21,3.1621856689453125,0.0447701489483868,3.1621856689453125,0.0447701489483868,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,660.0,660.0,660.0,0.0,1.0,549.177734375,0.8320874763257575,0.8320874763257575,0.7913223838256485,0.6823590223967345,147.0,147.0,147.0,1.0,120.3291015625,0.8185653167517006,1215.0,1215.0,1010.3603515625,0.8315723058127572,0.7549687017553607,0.7938610288154854,1.0515151515151515,-35.34282684326172,-31.116735458374023,-33.22978115081787,-35.67938232421875,-30.91593360900879,-33.29765796661377,-0.0678768157958984,17.327237219884825,18.388431320365395,17.85783427012511,17.42066532071477,18.27316706649232,17.846916193603548,-0.0109180765215626,False,False,False,False,2,2,2,2,9,MULTIPLE_SHELLS_MULTIPLE_REGIONS,False,False,False,0.8196969696969697,0.8196969696969697,0.7795389048991355,0.6654366543665436,0.012390506628787823,1,60,1.0,R02ZF_SARF000472,R02ZF_SARF000472__Q095__R0023,660,0.7549687017553607,False,False,2,2,2,2,7,MULTIPLE_SHELLS_MULTIPLE_REGIONS,COMPACT_OR_UNRESOLVED_SHAPE,R02ZF_SARF000473,R02ZF_SARF000473__Q095__R0021,694,0.7938610288154854,False,False,2,2,2,2,9,MULTIPLE_SHELLS_MULTIPLE_REGIONS,COMPACT_OR_UNRESOLVED_SHAPE,LARGE_Q4,0.07472556516707556,False,False,True,ONE_EDGE_PER_SOURCE_MIN_PRE_REFERENCE_STRUCTURAL_CHANGE_COST_NO_TRANSPORT_METRIC
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARPERSON01;R02ZF_SARPERSON02,472,473,2,5.91529669506828,R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,P0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0003__TO__R02ZF_SARF000473__Q095__R0003,P0__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0003__TO__R02ZF_SARF000473__Q095__R0003,R02ZF_SARF000472__Q095__R0003,3,R02ZF_SARF000473__Q095__R0003,3,3.1621856689453125,0.0447701489483868,3.1621856689453125,0.0447701489483868,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,962.0,962.0,962.0,0.0,1.0,843.548828125,0.8768698837058212,0.8768698837058212,0.970712115218642,0.8542689017455373,712.0,712.0,705.572265625,0.9909722831811798,647.580078125,0.909522581636236,1344.0,1344.0,1158.736328125,0.8621550060453869,1.100424077407056,0.9940421239778916,0.9033264033264036,42.356544494628906,47.55048370361328,44.95351409912109,42.64571762084961,47.254913330078125,44.95031547546387,-0.0031986236572265,18.06065782324924,19.306703691223984,18.68368075723661,18.154599934488303,19.35451904506574,18.754559489777023,0.0708787325404145,False,False,False,False,0,0,0,0,1,REGION_NO_SHELL,False,False,False,0.8066528066528067,0.8066528066528067,0.8929804372842347,0.7355450236966825,0.0702170770530145,1,60,1.0,R02ZF_SARF000472,R02ZF_SARF000472__Q095__R0003,962,1.100424077407056,False,False,0,0,0,0,1,REGION_NO_SHELL,COMPACT_OR_UNRESOLVED_SHAPE,R02ZF_SARF000473,R02ZF_SARF000473__Q095__R0003,869,0.9940421239778916,False,False,0,0,0,0,1,REGION_NO_SHELL,COMPACT_OR_UNRESOLVED_SHAPE,LARGE_Q4,0.1731897826721741,False,False,True,ONE_EDGE_PER_SOURCE_MIN_PRE_REFERENCE_STRUCTURAL_CHANGE_COST_NO_TRANSPORT_METRIC
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARPERSON01;R02ZF_SARPERSON02,472,473,3,5.9191783273299645,R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,P0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0007__TO__R02ZF_SARF000473__Q095__R0012,P0__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0007__TO__R02ZF_SARF000473__Q095__R0012,R02ZF_SARF000472__Q095__R0007,7,R02ZF_SARF000473__Q095__R0012,12,3.1621856689453125,0.0447701489483868,3.1621856689453125,0.0447701489483868,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,916.0,916.0,916.0,0.0,1.0,787.841796875,0.8600892978984717,0.8600892978984717,0.9607826791158536,0.8309180833729867,683.0,683.0,659.5888671875,0.9657230851939972,541.90625,0.7934205710102489,1175.0,1175.0,1060.7294921875,0.9027485039893616,1.0478050466786522,0.937991417332418,0.8951965065502184,27.56071281433105,34.63222885131836,31.096470832824707,27.91341781616211,34.45205307006836,31.182735443115234,0.0862646102905273,14.127948700781111,15.222864154829097,14.675406427805104,14.203395726636373,15.279233963029968,14.74131484483317,0.0659084170280657,False,False,False,False,0,0,0,0,1,REGION_NO_SHELL,False,False,False,0.8460698689956332,0.8460698689956332,0.945121951219512,0.8064516129032258,0.014019428902838471,1,60,1.0,R02ZF_SARF000472,R02ZF_SARF000472__Q095__R0007,916,1.0478050466786522,False,False,0,0,0,0,1,REGION_NO_SHELL,EXTENDED_OR_RIDGE_RESPONSE,R02ZF_SARF000473,R02ZF_SARF000473__Q095__R0012,820,0.937991417332418,False,False,0,0,0,0,1,REGION_NO_SHELL,COMPACT_OR_UNRESOLVED_SHAPE,LARGE_Q4,0.19387336350200252,False,False,True,ONE_EDGE_PER_SOURCE_MIN_PRE_REFERENCE_STRUCTURAL_CHANGE_COST_NO_TRANSPORT_METRIC
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARPERSON01;R02ZF_SARPERSON02,472,473,4,6.218368560406344,R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,P0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0011__TO__R02ZF_SARF000473__Q095__R0008,P0__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0011__TO__R02ZF_SARF000473__Q095__R0008,R02ZF_SARF000472__Q095__R0011,11,R02ZF_SARF000473__Q095__R0008,8,3.1621856689453125,0.0447701489483868,3.1621856689453125,0.0447701489483868,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,1068.0,1068.0,1068.0,0.0,1.0,1014.5068359375,0.9499127677317416,0.9499127677317416,0.7124345757988062,0.6866406292859064,594.0,594.0,593.8388671875,0.9997287326388888,503.2880859375,0.8472863399621212,2146.0,2146.0,1587.5693359375,0.7397806784424511,1.2216766264768564,1.6289021686358085,1.3333333333333333,7.0920281410217285,19.866952896118164,13.479490518569946,5.648549556732178,20.091217041015625,12.8698832988739,-0.6096072196960449,12.471085690133789,13.697283324840464,13.084184507487128,12.437720428114869,13.94240642532768,13.190063426721274,0.1058789192341471,False,False,False,False,0,0,0,0,1,REGION_NO_SHELL,False,False,False,0.9316479400749064,0.9316479400749064,0.6987359550561798,0.6646626586506346,0.018264827656835236,1,60,1.0,R02ZF_SARF000472,R02ZF_SARF000472__Q095__R0011,1068,1.2216766264768564,False,False,0,0,0,0,1,REGION_NO_SHELL,EXTENDED_OR_RIDGE_RESPONSE,R02ZF_SARF000473,R02ZF_SARF000473__Q095__R0008,1424,1.6289021686358085,False,False,0,0,0,0,1,REGION_NO_SHELL,EXTENDED_OR_RIDGE_RESPONSE,LARGE_Q4,0.5154824356251368,False,False,True,ONE_EDGE_PER_SOURCE_MIN_PRE_REFERENCE_STRUCTURAL_CHANGE_COST_NO_TRANSPORT_METRIC
R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0006__TO__R02ZF_SARF000473__Q095__R0009,R02ZF_SARPERSON01;R02ZF_SARPERSON02,472,473,5,6.285081326575223,R02ZF,0,R02ZF_SARF000472,R02ZF_SARF000473,472,473,P0,R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0016__TO__R02ZF_SARF000473__Q095__R0018,P0__R02ZF_SARF000472__R02ZF_SARF000472__Q095__R0016__TO__R02ZF_SARF000473__Q095__R0018,R02ZF_SARF000472__Q095__R0016,16,R02ZF_SARF000473__Q095__R0018,18,3.1621856689453125,0.0447701489483868,3.1621856689453125,0.0447701489483868,True,M1_GLOBAL_TRANSLATION,True,COMPARABLE,0.5060507284628378,0.1692855967720871,0.3344888747534928,0.0267494380258347,BASELINE_GLOBAL_DISPLAY_DISTRIBUTION,638.0,638.0,638.0,0.0,1.0,551.53125,0.8644690438871473,0.8644690438871473,0.7789989406779662,0.6942139007984895,316.0,316.0,315.82421875,0.999443730221519,238.8125,0.7557357594936709,987.0,987.0,879.521484375,0.89110586056231,0.7298030783635153,0.8098755164284778,1.109717868338558,-11.877052307128906,-7.729122638702393,-9.80308747291565,-11.331618309020996,-7.614691257476807,-9.4731547832489,0.329932689666748,16.462619072113835,17.628645492320814,17.045632282217326,16.432975740888708,17.99480875481258,17.213892247850644,0.1682599656333181,False,False,False,False,0,0,0,0,1,REGION_NO_SHELL,False,False,False,0.8463949843260188,0.8463949843260188,0.7627118644067796,0.6699751861042184,0.018074059561128508,1,60,1.0,R02ZF_SARF000472,R02ZF_SARF000472__Q095__R0016,638,0.7298030783635153,False,False,0,0,0,0,1,REGION_NO_SHELL,COMPACT_OR_UNRESOLVED_SHAPE,R02ZF_SARF000473,R02ZF_SARF000473__Q095__R0018,708,0.8098755164284778,False,False,0,0,0,0,1,REGION_NO_SHELL,COMPACT_OR_UNRESOLVED_SHAPE,LARGE_Q4,0.3383523139155976,False,False,True,ONE_EDGE_PER_SOURCE_MIN_PRE_REFERENCE_STRUCTURAL_CHANGE_COST_NO_TRANSPORT_METRIC
