timing_condition,evaluation_group,N_total_hypothesis_records,N_hard_feasible,N_dynamic_available,N_same_optical_sample,N_fragment_break,N_observation_unavailable,N_static_shell_infeasible,N_direction_indeterminate,N_direction_concordant,N_direction_contradictory,N_direction_unavailable,dynamic_availability_rate_of_total,determinate_direction_rate_of_dynamic_available
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,26,25,10,0,15,0,1,10,0,0,16,0.38461538461538464,0.0
NOMINAL,FROZEN_MATCHED_SAR_NULL,105,99,35,0,64,0,6,35,0,0,70,0.3333333333333333,0.0
SAR_SHIFT_MINUS_1,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,21,19,0,8,11,2,2,0,0,0,21,0.0,0.0
SAR_SHIFT_MINUS_1,FROZEN_MATCHED_SAR_NULL,87,76,0,26,50,10,11,0,0,0,87,0.0,0.0
SAR_SHIFT_PLUS_1,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,26,25,0,10,15,0,1,0,0,0,26,0.0,0.0
SAR_SHIFT_PLUS_1,FROZEN_MATCHED_SAR_NULL,105,99,0,35,64,0,6,0,0,0,105,0.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,21,20,9,0,11,0,1,9,0,0,12,0.42857142857142855,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,92,86,35,0,51,0,6,35,0,0,57,0.3804347826086957,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,22,21,9,0,12,0,1,9,0,0,13,0.4090909090909091,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,102,96,34,0,62,0,6,34,0,0,68,0.3333333333333333,0.0
