timing_condition,evaluation_group,pair_index,from_frame,to_frame,N_total_hypothesis_records,N_hard_feasible,N_dynamic_available,N_same_optical_sample,N_fragment_break,N_observation_unavailable,N_static_shell_infeasible,N_direction_indeterminate,N_direction_concordant,N_direction_contradictory,N_direction_unavailable,dynamic_availability_rate_of_total,determinate_direction_rate_of_dynamic_available
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,0,472,473,5,4,2,0,2,0,1,2,0,0,3,0.4,0.0
NOMINAL,FROZEN_MATCHED_SAR_NULL,0,472,473,25,20,10,0,10,0,5,10,0,0,15,0.4,0.0
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,10,482,483,5,5,3,0,2,0,0,3,0,0,2,0.6,0.0
NOMINAL,FROZEN_MATCHED_SAR_NULL,10,482,483,25,24,10,0,14,0,1,10,0,0,15,0.4,0.0
NOMINAL,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,15,487,488,16,16,5,0,11,0,0,5,0,0,11,0.3125,0.0
NOMINAL,FROZEN_MATCHED_SAR_NULL,15,487,488,55,55,15,0,40,0,0,15,0,0,40,0.2727272727272727,0.0
SAR_SHIFT_MINUS_1,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,0,472,473,2,0,0,0,0,2,2,0,0,0,2,0.0,0.0
SAR_SHIFT_MINUS_1,FROZEN_MATCHED_SAR_NULL,0,472,473,10,0,0,0,0,10,10,0,0,0,10,0.0,0.0
SAR_SHIFT_MINUS_1,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,10,482,483,6,6,0,3,3,0,0,0,0,0,6,0.0,0.0
SAR_SHIFT_MINUS_1,FROZEN_MATCHED_SAR_NULL,10,482,483,25,24,0,10,14,0,1,0,0,0,25,0.0,0.0
SAR_SHIFT_MINUS_1,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,15,487,488,13,13,0,5,8,0,0,0,0,0,13,0.0,0.0
SAR_SHIFT_MINUS_1,FROZEN_MATCHED_SAR_NULL,15,487,488,52,52,0,16,36,0,0,0,0,0,52,0.0,0.0
SAR_SHIFT_PLUS_1,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,0,472,473,5,4,0,2,2,0,1,0,0,0,5,0.0,0.0
SAR_SHIFT_PLUS_1,FROZEN_MATCHED_SAR_NULL,0,472,473,25,20,0,10,10,0,5,0,0,0,25,0.0,0.0
SAR_SHIFT_PLUS_1,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,10,482,483,5,5,0,3,2,0,0,0,0,0,5,0.0,0.0
SAR_SHIFT_PLUS_1,FROZEN_MATCHED_SAR_NULL,10,482,483,25,24,0,10,14,0,1,0,0,0,25,0.0,0.0
SAR_SHIFT_PLUS_1,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,15,487,488,16,16,0,5,11,0,0,0,0,0,16,0.0,0.0
SAR_SHIFT_PLUS_1,FROZEN_MATCHED_SAR_NULL,15,487,488,55,55,0,15,40,0,0,0,0,0,55,0.0,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,0,472,473,5,4,2,0,2,0,1,2,0,0,3,0.4,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,0,472,473,25,20,10,0,10,0,5,10,0,0,15,0.4,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,10,482,483,6,6,3,0,3,0,0,3,0,0,3,0.5,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,10,482,483,25,24,11,0,13,0,1,11,0,0,14,0.44,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,15,487,488,10,10,4,0,6,0,0,4,0,0,6,0.4,0.0
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,15,487,488,42,42,14,0,28,0,0,14,0,0,28,0.3333333333333333,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,0,472,473,5,4,2,0,2,0,1,2,0,0,3,0.4,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,0,472,473,25,20,10,0,10,0,5,10,0,0,15,0.4,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,10,482,483,5,5,3,0,2,0,0,3,0,0,2,0.6,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,10,482,483,28,27,11,0,16,0,1,11,0,0,17,0.39285714285714285,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,REFERENCE_SUPPORTED_SAR_EDGE_RAW_BRANCH_UNRESOLVED,15,487,488,12,12,4,0,8,0,0,4,0,0,8,0.3333333333333333,0.0
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,FROZEN_MATCHED_SAR_NULL,15,487,488,49,49,13,0,36,0,0,13,0,0,36,0.2653061224489796,0.0
