timing_condition,pair_index,direction_pairwise_decision,matched_edge_pair_count
NOMINAL,0,DIRECTION_NO_DECISION,10
NOMINAL,10,DIRECTION_FAVORS_SUPPORTED,1
NOMINAL,10,DIRECTION_NO_DECISION,9
NOMINAL,15,DIRECTION_FAVORS_SUPPORTED,4
NOMINAL,15,DIRECTION_NO_DECISION,6
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,0,DIRECTION_NO_DECISION,10
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,10,DIRECTION_NO_DECISION,10
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,15,DIRECTION_FAVORS_SUPPORTED,4
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,15,DIRECTION_NO_DECISION,6
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,0,DIRECTION_NO_DECISION,10
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,10,DIRECTION_FAVORS_SUPPORTED,1
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,10,DIRECTION_NO_DECISION,9
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,15,DIRECTION_FAVORS_SUPPORTED,4
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,15,DIRECTION_NO_DECISION,6
SAR_SHIFT_MINUS_1,0,DIRECTION_NO_DECISION,10
SAR_SHIFT_MINUS_1,10,DIRECTION_NO_DECISION,10
SAR_SHIFT_MINUS_1,15,DIRECTION_NO_DECISION,10
SAR_SHIFT_PLUS_1,0,DIRECTION_NO_DECISION,10
SAR_SHIFT_PLUS_1,10,DIRECTION_NO_DECISION,10
SAR_SHIFT_PLUS_1,15,DIRECTION_NO_DECISION,10
