timing_condition,raw_track_fragment_id,direction_pairwise_decision,matched_edge_pair_row_count
NOMINAL,R02ZF_REUSED_R02ZF_PERSON017,DIRECTION_FAVORS_SUPPORTED,2
NOMINAL,R02ZF_REUSED_R02ZF_PERSON017,DIRECTION_NO_DECISION,13
NOMINAL,R02ZF_REUSED_R02ZF_PERSON018,DIRECTION_FAVORS_SUPPORTED,2
NOMINAL,R02ZF_REUSED_R02ZF_PERSON018,DIRECTION_NO_DECISION,12
NOMINAL,R02ZF_REUSED_R02ZF_PERSON021,DIRECTION_FAVORS_SUPPORTED,2
NOMINAL,R02ZF_REUSED_R02ZF_PERSON021,DIRECTION_NO_DECISION,2
NOMINAL,R02ZF_REUSED_R02ZF_PERSON023,DIRECTION_FAVORS_SUPPORTED,2
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON017,DIRECTION_FAVORS_SUPPORTED,2
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON017,DIRECTION_NO_DECISION,16
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON018,DIRECTION_FAVORS_SUPPORTED,2
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON018,DIRECTION_NO_DECISION,12
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON021,DIRECTION_FAVORS_SUPPORTED,2
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON021,DIRECTION_NO_DECISION,1
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON017,DIRECTION_FAVORS_SUPPORTED,2
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON017,DIRECTION_NO_DECISION,11
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON018,DIRECTION_FAVORS_SUPPORTED,2
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON018,DIRECTION_NO_DECISION,12
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON021,DIRECTION_FAVORS_SUPPORTED,2
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON021,DIRECTION_NO_DECISION,3
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_REUSED_R02ZF_PERSON024,DIRECTION_FAVORS_SUPPORTED,2
