timing_condition,sar_only_pairwise_outcome,direction_pairwise_decision,joint_category,matched_edge_pair_count
NOMINAL,ALTERNATIVE_WIN,DIRECTION_NO_DECISION,DIRECTION_REDUNDANT_NO_DECISION,1
NOMINAL,SUPPORTED_WIN,DIRECTION_FAVORS_SUPPORTED,DIRECTION_CONFIRMATION,5
NOMINAL,SUPPORTED_WIN,DIRECTION_NO_DECISION,DIRECTION_REDUNDANT_NO_DECISION,24
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,ALTERNATIVE_WIN,DIRECTION_NO_DECISION,DIRECTION_REDUNDANT_NO_DECISION,1
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,SUPPORTED_WIN,DIRECTION_FAVORS_SUPPORTED,DIRECTION_CONFIRMATION,4
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,SUPPORTED_WIN,DIRECTION_NO_DECISION,DIRECTION_REDUNDANT_NO_DECISION,25
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,ALTERNATIVE_WIN,DIRECTION_NO_DECISION,DIRECTION_REDUNDANT_NO_DECISION,1
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,SUPPORTED_WIN,DIRECTION_FAVORS_SUPPORTED,DIRECTION_CONFIRMATION,5
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,SUPPORTED_WIN,DIRECTION_NO_DECISION,DIRECTION_REDUNDANT_NO_DECISION,24
SAR_SHIFT_MINUS_1,ALTERNATIVE_WIN,DIRECTION_NO_DECISION,DIRECTION_REDUNDANT_NO_DECISION,1
SAR_SHIFT_MINUS_1,SUPPORTED_WIN,DIRECTION_NO_DECISION,DIRECTION_REDUNDANT_NO_DECISION,29
SAR_SHIFT_PLUS_1,ALTERNATIVE_WIN,DIRECTION_NO_DECISION,DIRECTION_REDUNDANT_NO_DECISION,1
SAR_SHIFT_PLUS_1,SUPPORTED_WIN,DIRECTION_NO_DECISION,DIRECTION_REDUNDANT_NO_DECISION,29
