timing_condition,source_optical_frame_index,destination_optical_frame_index,active_raw_fragment_count,positive_count,negative_count,deformation_count,no_resolved_count,unavailable_count,coherent_vote_count,global_optical_direction_state,majority_fraction_all_states,coherent_majority_fraction,direction_diversity_state_count,shannon_entropy_bits,fragment_to_fragment_disagreement_fraction,reference_used
NOMINAL,283,284,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
NOMINAL,284,285,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
NOMINAL,285,286,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
NOMINAL,286,287,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
NOMINAL,287,288,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
NOMINAL,288,289,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
NOMINAL,289,290,3,3,0,0,0,0,3,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
NOMINAL,290,291,3,3,0,0,0,0,3,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
NOMINAL,291,292,3,3,0,0,0,0,3,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
NOMINAL,292,293,4,4,0,0,0,0,4,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
NOMINAL,293,294,4,4,0,0,0,0,4,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
NOMINAL,294,295,4,4,0,0,0,0,4,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
NOMINAL,295,296,4,4,0,0,0,0,4,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,282,283,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,283,284,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,284,285,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,285,286,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,286,287,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,287,288,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,288,289,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,289,290,3,3,0,0,0,0,3,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,290,291,3,3,0,0,0,0,3,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,291,292,3,3,0,0,0,0,3,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,292,293,4,4,0,0,0,0,4,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,293,294,4,4,0,0,0,0,4,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,294,295,4,4,0,0,0,0,4,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,284,285,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,285,286,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,286,287,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,287,288,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,288,289,2,2,0,0,0,0,2,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,289,290,3,3,0,0,0,0,3,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,290,291,3,3,0,0,0,0,3,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,291,292,3,3,0,0,0,0,3,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,292,293,4,4,0,0,0,0,4,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,293,294,4,4,0,0,0,0,4,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,294,295,4,4,0,0,0,0,4,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,295,296,4,4,0,0,0,0,4,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,296,297,4,4,0,0,0,0,4,OPTICAL_COHERENT_POSITIVE_SHIFT,1.0,1.0,1,-0.0,0.0,False
