explanation_component_id,segment_id,run_id,track_id,frame_index,region_id,track_node_id,theta_mid_deg,manual_reference_used
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,R01ZF_SARF000000__Q095__R0001,TERGN_82264A102101FE58F449,-30.452126502990723,False
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,1,R01ZF_SARF000001__Q095__R0001,TERGN_CA4C9F46E5956431B99C,-29.345450401306156,False
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,2,R01ZF_SARF000002__Q095__R0001,TERGN_EA0183DBDBFDBA27A1CC,-28.672008514404297,False
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,3,R01ZF_SARF000003__Q095__R0001,TERGN_DB220BB1B34D72362CA3,-27.508687019348145,False
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,4,R01ZF_SARF000004__Q095__R0001,TERGN_FF91C93138C2C1D228E0,-26.62922191619873,False
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,5,R01ZF_SARF000005__Q095__R0001,TERGN_98A47A8E60AF945F3908,-26.216544151306152,False
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,6,R01ZF_SARF000006__Q095__R0001,TERGN_5A637BC6E3C37CC62D9C,-25.18696117401123,False
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,7,R01ZF_SARF000007__Q095__R0001,TERGN_D4FC97E465799E874757,-24.600825309753418,False
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,8,R01ZF_SARF000008__Q095__R0001,TERGN_55781289CEA8AD91E8FD,-23.73244285583496,False
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,9,R01ZF_SARF000009__Q095__R0001,TERGN_F63CC21D2B8D47500F79,-22.41684341430664,False
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,10,R01ZF_SARF000010__Q095__R0001,TERGN_CA90F9CFB8F06CC768F7,-21.65477466583252,False
TERGXC_1FD4CF2856175478AA05,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,11,R01ZF_SARF000011__Q095__R0001,TERGN_7222D32D0C48067DA583,-20.63306427001953,False
