sensitivity,topology_mode,denominator_shell_rows,applied_shell_rows,applied_fraction,N_region_before_median,N_region_after_median,N_region_reduction_median,N_family_before_median,N_family_after_median,N_family_reduction_median,A_candidate_px_before_median,A_candidate_px_after_median,A_candidate_px_reduction_fraction_median,A_candidate_m2_before_median,A_candidate_m2_after_median,any_region_reduction_fraction
CURRENT_FROZEN,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,157,145,0.9235668789808917,8.0,8.0,0.0,8.0,8.0,0.0,2192.0,2101.0,0.0,2.507411203405683,2.4033170339212315,0.4140127388535032
CURRENT_FROZEN,PRIMARY_SELECTED_CURB,157,145,0.9235668789808917,8.0,7.0,1.0,8.0,7.0,1.0,2192.0,1873.0,0.10280373831775702,2.507411203405683,2.142509664223925,0.6496815286624203
PLUS_MINUS_1_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,157,145,0.9235668789808917,3.0,2.0,0.0,3.0,2.0,0.0,151.0,124.0,0.0,0.17272768782584766,0.14184260457221928,0.35668789808917195
PLUS_MINUS_1_DEG,PRIMARY_SELECTED_CURB,157,145,0.9235668789808917,3.0,2.0,0.0,3.0,2.0,0.0,151.0,88.0,0.15450643776824036,0.17272768782584766,0.10066249356738143,0.4267515923566879
PLUS_MINUS_2_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,157,145,0.9235668789808917,4.0,4.0,0.0,4.0,4.0,0.0,472.0,350.0,0.0,0.5399170109523186,0.40036219032481246,0.3885350318471338
PLUS_MINUS_2_DEG,PRIMARY_SELECTED_CURB,157,145,0.9235668789808917,4.0,3.0,0.0,4.0,3.0,0.0,472.0,295.0,0.16425992779783394,0.5399170109523186,0.3374481318451991,0.445859872611465
PLUS_MINUS_3_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,157,145,0.9235668789808917,4.0,4.0,0.0,4.0,4.0,0.0,901.0,823.0,0.0,1.030646667093303,0.9414230932494876,0.39490445859872614
PLUS_MINUS_3_DEG,PRIMARY_SELECTED_CURB,157,145,0.9235668789808917,4.0,4.0,0.0,4.0,4.0,0.0,901.0,672.0,0.15165876777251186,1.030646667093303,0.76869540542364,0.4394904458598726
PLUS_MINUS_4_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,157,145,0.9235668789808917,5.0,5.0,0.0,5.0,5.0,0.0,1310.0,1183.0,0.0,1.4984984837871553,1.3532242032978663,0.4012738853503185
PLUS_MINUS_4_DEG,PRIMARY_SELECTED_CURB,157,145,0.9235668789808917,5.0,5.0,0.0,5.0,5.0,0.0,1310.0,1011.0,0.14231499051233398,1.4984984837871553,1.1564747840525298,0.4585987261146497
PLUS_MINUS_6_DEG,IDENTITY_CONSERVATIVE_TWO_NEAR_BANDS,157,145,0.9235668789808917,7.0,7.0,0.0,7.0,6.0,0.0,1865.0,1707.0,0.0,2.133358528445072,1.9526235968127283,0.4140127388535032
PLUS_MINUS_6_DEG,PRIMARY_SELECTED_CURB,157,145,0.9235668789808917,7.0,6.0,1.0,7.0,6.0,1.0,1865.0,1526.0,0.10253317249698435,2.133358528445072,1.7455791498161823,0.5222929936305732
