range_tolerance_m,prompt_range_group,row_count,reference_range_median,N_family_before_median,N_family_after_median,non_singleton_fraction,reference_radial_support_retained_fraction
0.05,R02_12_TO_14M,18,13.083336087239053,9.0,1.0,0.0,1.0
0.05,R02_6_TO_8M,12,7.014884285673841,3.5,1.0,0.0,1.0
0.5,R02_12_TO_14M,18,13.083336087239053,9.0,1.0,0.0,1.0
0.5,R02_6_TO_8M,12,7.014884285673841,3.5,1.0,0.0,1.0
1.0,R02_12_TO_14M,18,13.083336087239053,9.0,1.0,0.2222222222222222,1.0
1.0,R02_6_TO_8M,12,7.014884285673841,3.5,1.0,0.0,1.0
2.0,R02_12_TO_14M,18,13.083336087239053,9.0,1.5,0.5,1.0
2.0,R02_6_TO_8M,12,7.014884285673841,3.5,1.0,0.16666666666666666,1.0
3.0,R02_12_TO_14M,18,13.083336087239053,9.0,1.5,0.5,1.0
3.0,R02_6_TO_8M,12,7.014884285673841,3.5,1.5,0.5,1.0
