scenario,entity_kind,run_id,frame_index,entity_id,target_id_oracle,range_tolerance_m,range_oracle_level,N_region_before,N_region_after,N_family_before,N_family_after,A_candidate_px_before,A_candidate_px_after,A_candidate_m2_before,A_candidate_m2_after,reference_range_retained,oracle_diagnostic_only,counterexample_kind
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,15,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,23,7,20,7,7334.0,2934.0,8.389303725263357,3.3561790468942854,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,17,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,21,6,16,6,7111.0,1845.0,8.134215815427831,2.1104806889979404,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,15,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,22,5,19,5,6275.0,2028.0,7.177922126537711,2.3198129199391992,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,20,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,21,5,17,5,9006.0,1892.0,10.301891103043607,2.1642436116987005,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,20,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,21,6,17,5,8774.0,1489.0,10.03650816545687,1.703255146838988,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,35,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,19,5,17,5,5656.0,1256.0,6.469852995648971,1.4367283172798986,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,17,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,21,5,16,5,7675.0,1296.0,8.77937088783696,1.4824839961741627,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,65,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,17,5,16,5,6189.0,1412.0,7.079547416915041,1.6151754649675292,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,47,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,15,5,15,5,6253.0,1972.0,7.152756503145863,2.255754969487229,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,47,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,20,4,20,4,8073.0,886.0,9.234639892834888,1.0134882875079538,True,True,PM3M_STILL_MULTIPLE_FAMILIES
