run_id,frame_uid,frame_index,percentile_tag,region_id,region_label,percentile_level,numeric_score_threshold,pixel_count,area_m2,score_max,score_mean,score_median,centroid_x_px_shape_descriptor,centroid_y_px_shape_descriptor,major_extent_m,minor_extent_m,elongation,structure_state,range_min_m,range_max_m,theta_min_deg,theta_max_deg,theta_mid_deg,support_fraction_min,support_fraction_median,touches_observable_boundary,has_truncated_support,reference_used_for_region_generation,region_is_final_person_box,physical_region_id,physical_response_semantics,optical_conditioning_embedded
R01ZF,R01ZF_SARF000000,0,Q095,R01ZF_SARF000000__Q095__R0001,1,0.95,0.644210934638977,757,0.8659262230739516,0.9986180067062378,0.8265248537063599,0.8272513151168823,428.70937912813736,452.1611624834874,1.2205281205163758,0.922007751430362,1.3237720817671028,COMPACT_OR_UNRESOLVED_SHAPE,5.044940431192232,5.976087317790256,-36.84493637084961,-24.05931663513184,-30.452126502990723,1.0,1.0,False,False,False,False,TERGV1PR_5A67A24D995B7A1FC2DD,SAR_Q95_IMAGE_DOMAIN_REGION_NOT_PERSON_BOX_OR_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,Q095,R01ZF_SARF000000__Q095__R0002,2,0.95,0.644210934638977,446,0.5101758196710467,0.988770306110382,0.8051897883415222,0.8014588356018066,360.91255605381167,441.8116591928251,0.9369352503814504,0.6866811179713646,1.3644400957891516,COMPACT_OR_UNRESOLVED_SHAPE,6.828363538920424,7.499381420747925,-49.018009185791016,-41.60027694702149,-45.30914306640625,1.0,1.0,False,False,False,False,TERGV1PR_1200DDBEA20D908E10AB,SAR_Q95_IMAGE_DOMAIN_REGION_NOT_PERSON_BOX_OR_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,Q095,R01ZF_SARF000000__Q095__R0007,7,0.95,0.644210934638977,1772,2.026976575015908,0.8900974988937378,0.7433050274848938,0.7302010655403137,253.0761851015801,124.68002257336344,2.55096590279733,1.5162865165060309,1.6823772255625566,EXTENDED_OR_RIDGE_RESPONSE,17.414367144978847,18.99327500669023,-32.37929916381836,-24.574817657470703,-28.47705841064453,1.0,1.0,False,False,False,False,TERGV1PR_ECA5D79045611F9C0D62,SAR_Q95_IMAGE_DOMAIN_REGION_NOT_PERSON_BOX_OR_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,Q095,R01ZF_SARF000000__Q095__R0011,11,0.95,0.644210934638977,730,0.8350411398203231,0.8609625697135925,0.7501145601272583,0.7545785903930664,284.713698630137,298.8232876712329,2.0333938204505904,0.5257380353418075,3.867693953564885,EXTENDED_OR_RIDGE_RESPONSE,11.87562320985022,13.1956938017851,-41.65190505981445,-33.945091247558594,-37.79849815368652,1.0,1.0,False,False,False,False,TERGV1PR_67B3BDC139F4FC129C86,SAR_Q95_IMAGE_DOMAIN_REGION_NOT_PERSON_BOX_OR_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,Q095,R01ZF_SARF000000__Q095__R0018,18,0.95,0.644210934638977,508,0.5810971219571565,0.8109893798828125,0.7111899256706238,0.7003955841064453,382.4389763779528,301.43307086614175,1.3799263320188544,0.6218519773649165,2.21905916881741,COMPACT_OR_UNRESOLVED_SHAPE,10.227400321963536,11.215151830754555,-26.77858543395996,-20.766679763793945,-23.772632598876953,1.0,1.0,False,False,False,False,TERGV1PR_4348FCC6165190CAC714,SAR_Q95_IMAGE_DOMAIN_REGION_NOT_PERSON_BOX_OR_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,Q095,R01ZF_SARF000000__Q095__R0020,20,0.95,0.644210934638977,287,0.3282969960663462,0.7956876158714294,0.7137873768806458,0.7100319862365723,191.37979094076653,130.27177700348432,0.9184117839676054,0.4314125640538517,2.1288480227315847,COMPACT_OR_UNRESOLVED_SHAPE,18.73345409852036,19.230485649755032,-36.13178634643555,-33.42591094970703,-34.77884864807129,1.0,1.0,False,False,False,False,TERGV1PR_991536FD549413918CD3,SAR_Q95_IMAGE_DOMAIN_REGION_NOT_PERSON_BOX_OR_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,Q095,R01ZF_SARF000000__Q095__R0021,21,0.95,0.644210934638977,205,0.2344978543331044,0.7955736517906189,0.7170777320861816,0.7168779373168945,258.93658536585366,231.09268292682927,0.6072390546807791,0.4586445575105667,1.323986177829634,COMPACT_OR_UNRESOLVED_SHAPE,14.618698590670515,15.122797268955972,-36.286399841308594,-34.002803802490234,-35.144601821899414,1.0,1.0,False,False,False,False,TERGV1PR_BF5E62A51F6EC86831B0,SAR_Q95_IMAGE_DOMAIN_REGION_NOT_PERSON_BOX_OR_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,Q095,R01ZF_SARF000000__Q095__R0029,29,0.95,0.644210934638977,366,0.4186644618825182,0.7561404705047607,0.6984710097312927,0.6947487592697144,229.05737704918036,299.95628415300547,0.8749458054064418,0.5279475850220676,1.6572588458187,COMPACT_OR_UNRESOLVED_SHAPE,13.45653653787673,13.98073426173833,-45.999298095703125,-42.31557083129883,-44.15743446350098,1.0,1.0,False,False,False,False,TERGV1PR_47F2657DE505B18C7324,SAR_Q95_IMAGE_DOMAIN_REGION_NOT_PERSON_BOX_OR_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,Q095,R01ZF_SARF000000__Q095__R0034,34,0.95,0.644210934638977,69,0.0789285460926058,0.7185081243515015,0.6800062656402588,0.6810644268989563,323.8985507246377,267.4782608695652,0.319038935275741,0.2722849624702261,1.1717097131672385,COMPACT_OR_UNRESOLVED_SHAPE,12.507464828447189,12.792483600307834,-30.869035720825195,-29.423992156982425,-30.14651393890381,1.0,1.0,False,False,False,False,TERGV1PR_613944E4F69F442062AB,SAR_Q95_IMAGE_DOMAIN_REGION_NOT_PERSON_BOX_OR_IDENTITY,False
R01ZF,R01ZF_SARF000000,0,Q095,R01ZF_SARF000000__Q095__R0041,41,0.95,0.644210934638977,16,0.0183022715577057,0.6577027440071106,0.650921642780304,0.6506351232528687,218.9375,271.3125,0.1497340397444398,0.1069528855317427,1.3999999999999992,COMPACT_OR_UNRESOLVED_SHAPE,14.59023810267603,14.733600560098608,-42.75692367553711,-42.277565002441406,-42.51724433898926,1.0,1.0,False,False,False,False,TERGV1PR_13B993D12991F1C62E39,SAR_Q95_IMAGE_DOMAIN_REGION_NOT_PERSON_BOX_OR_IDENTITY,False
