permutation_index,evidence_application_order,canonical_active_factor_signature,final_possible_joint_world_count,order_independent
1,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>shared_and_topology>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
2,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>timing_relation_set>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
3,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>shared_and_topology>cross_modal_definite_order_intersection>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
4,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>shared_and_topology>timing_relation_set>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
5,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>timing_relation_set>cross_modal_definite_order_intersection>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
6,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>sar_family_pair_geometry_alone>timing_relation_set>shared_and_topology>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
7,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>shared_and_topology>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
8,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>timing_relation_set>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
9,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>shared_and_topology>sar_family_pair_geometry_alone>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
10,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>shared_and_topology>timing_relation_set>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
11,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>timing_relation_set>sar_family_pair_geometry_alone>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
12,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>timing_relation_set>shared_and_topology>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
13,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>shared_and_topology>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
14,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>shared_and_topology>sar_family_pair_geometry_alone>timing_relation_set>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
15,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>shared_and_topology>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
16,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>shared_and_topology>cross_modal_definite_order_intersection>timing_relation_set>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
17,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>shared_and_topology>timing_relation_set>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
18,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>shared_and_topology>timing_relation_set>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
19,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>timing_relation_set>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
20,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>timing_relation_set>sar_family_pair_geometry_alone>shared_and_topology>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
21,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>timing_relation_set>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
22,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>timing_relation_set>cross_modal_definite_order_intersection>shared_and_topology>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
23,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>timing_relation_set>shared_and_topology>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
24,lifecycle>corridor>p0_upper_temporal_structure>optical_raw_definite_order_alone>timing_relation_set>shared_and_topology>cross_modal_definite_order_intersection>sar_family_pair_geometry_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
25,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>shared_and_topology>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
26,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>timing_relation_set>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
27,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>shared_and_topology>cross_modal_definite_order_intersection>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
28,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>shared_and_topology>timing_relation_set>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
29,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>timing_relation_set>cross_modal_definite_order_intersection>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
30,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>optical_raw_definite_order_alone>timing_relation_set>shared_and_topology>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
31,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>shared_and_topology>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
32,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>timing_relation_set>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
33,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>shared_and_topology>optical_raw_definite_order_alone>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
34,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>shared_and_topology>timing_relation_set>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
35,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>cross_modal_definite_order_intersection>timing_relation_set>optical_raw_definite_order_alone>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
