family_id,track_id,frame_index,physical_region_id,frame_uid,region_id,theta_min_deg,theta_max_deg,segment_id,run_id
TERGV1F_22D21C316EFE15EF6D48,R02ZF_REUSED_R02ZF_PERSON021,492,TERGV1PR_3B7765AE925A09BBAE9B,R02ZF_SARF000492,R02ZF_SARF000492__Q095__R0011,-52.09820175170898,-41.36543655395508,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_A279631D1289FCD10690,R02ZF_REUSED_R02ZF_PERSON024,490,TERGV1PR_A5CA9B2FA3402A1BE1ED,R02ZF_SARF000490,R02ZF_SARF000490__Q095__R0011,-40.09775161743164,-31.37388801574707,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_A279631D1289FCD10690,R02ZF_REUSED_R02ZF_PERSON024,491,TERGV1PR_DD2BA97B318AA9AA531B,R02ZF_SARF000491,R02ZF_SARF000491__Q095__R0004,-39.4007682800293,-29.21651077270508,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_A279631D1289FCD10690,R02ZF_REUSED_R02ZF_PERSON024,492,TERGV1PR_4F14EE8AC7402993DA28,R02ZF_SARF000492,R02ZF_SARF000492__Q095__R0007,-38.64152145385742,-28.599842071533203,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_A279631D1289FCD10690,R02ZF_REUSED_R02ZF_PERSON024,493,TERGV1PR_EB1FCB160F7AF7B19521,R02ZF_SARF000493,R02ZF_SARF000493__Q095__R0002,-38.88214492797852,-27.573383331298828,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_A279631D1289FCD10690,R02ZF_REUSED_R02ZF_PERSON024,494,TERGV1PR_191228981B33949B52BE,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0001,-36.97657775878906,-26.52735710144043,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_DA80E1053DF3481FEE85,R02ZF_REUSED_R02ZF_PERSON017,487,TERGV1PR_88DDF0FC10BBAE7B17D1,R02ZF_SARF000487,R02ZF_SARF000487__Q095__R0010,-26.28192710876465,-17.16485023498535,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_DA80E1053DF3481FEE85,R02ZF_REUSED_R02ZF_PERSON017,487,TERGV1PR_B96BF78655CE5F75C2B8,R02ZF_SARF000487,R02ZF_SARF000487__Q095__R0023,-24.69126319885254,-22.91720390319824,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_DA80E1053DF3481FEE85,R02ZF_REUSED_R02ZF_PERSON017,488,TERGV1PR_47E33B3BE79D62D06E47,R02ZF_SARF000488,R02ZF_SARF000488__Q095__R0011,-25.68540573120117,-16.541526794433594,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_DA80E1053DF3481FEE85,R02ZF_REUSED_R02ZF_PERSON017,488,TERGV1PR_C1BE3AD6632C40B4D26A,R02ZF_SARF000488,R02ZF_SARF000488__Q095__R0024,-24.392065048217773,-22.846275329589844,TERGS_406E06BEE8B19831E091,R02ZF
