segment_id,run_id,track_count,direct_definite_edge_count,partial_order_closure_edge_count,transitive_edge_added_count,redundant_direct_edge_count,irreducible_edge_count,cycle_count,direct_edge_set,redundant_edge_set,global_partial_order_new_discrimination,interpretation
TERGS_E766DA8C46F860D1BA2F,R01ZF,2,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_78A1EE0BE1319B401D51,R01ZF,1,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_8BEED5994DAAC1AE86CF,R01ZF,2,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_253C26F1BF4B2985C601,R01ZF,1,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_BC5EA4947C3E28B93EB6,R01ZF,3,2,2,0,0,2,0,R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON002,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_BDFB23ADB9531057AE1C,R01ZF,2,1,1,0,0,1,0,R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON002,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_447E05427C2D6C44CC40,R01ZF,2,1,1,0,0,1,0,R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON001,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_90732AAA7ED6876C7E68,R01ZF,1,0,0,0,0,0,0,,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_1CFF140A9BB35DBEE86F,R01ZF,3,2,2,0,0,2,0,R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON002,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
TERGS_4DCF92A4ED1645C80C30,R01ZF,3,2,2,0,0,2,0,R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON001;R01ZF_REUSED_R01ZF_PERSON003<R01ZF_REUSED_R01ZF_PERSON002,,False,SEMANTIC_COMPOSITION_AND_REDUNDANCY_CONTROL_NOT_ADDITIONAL_INFORMATION
