explanation_component_id,segment_id,run_id,track_id,graph_edge_id,source_sar_frame,destination_sar_frame,source_region_id,destination_region_id,soft_intersection_px,source_total_retention,destination_explained_fraction,soft_iou,audit_edge_family,sar_p0_residual_state,sar_topology_state,mutual_local_dominant,exact_one_soft_pixel_mass,component_node_count,component_frame_count,small_side_node_count,large_side_node_count,small_side_frame_count,large_side_frame_count,bridge_frame_balance,priority,source_sar_image,destination_sar_image,detail_pack
TERGXC_D4540592149EDEBA3A29,TERGS_447E05427C2D6C44CC40,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,TERGE_12263C621633CF2CF4FC,67,68,R01ZF_SARF000067__Q095__R0012,R01ZF_SARF000068__Q095__R0031,135.791015625,0.09875710227272727,0.6755771921641791,0.09428563291731479,WEAK_CONTINUATION,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_SPLIT_LIKE,False,False,83,50,37,46,27,26,1.0384615384615385,12699.905714367083,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000067_t002233ms.jpg,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000068_t002267ms.jpg,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\bridge_critical_edges\01_TERGE_12263C621633CF2CF4FC.png
TERGXC_B1E6FEA9856B7D22914E,TERGS_90732AAA7ED6876C7E68,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,TERGE_EFB327781B62D362F555,101,102,R01ZF_SARF000101__Q095__R0017,R01ZF_SARF000102__Q095__R0035,175.8359375,0.15855359558160506,0.8971221301020408,0.15572222260660196,WEAK_CONTINUATION,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_SPLIT_LIKE,False,False,51,44,21,30,21,26,0.8076923076923077,12099.844277777393,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000101_t003367ms.jpg,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000102_t003400ms.jpg,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\bridge_critical_edges\02_TERGE_EFB327781B62D362F555.png
TERGXC_6147AB300DD056E38A58,TERGS_90732AAA7ED6876C7E68,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,TERGE_47777A06F5C061A7C5E5,90,91,R01ZF_SARF000090__Q095__R0007,R01ZF_SARF000091__Q095__R0049,38.625,0.06321603927986907,0.8583333333333333,0.06256327191739218,WEAK_CONTINUATION,SAR_P0_RESIDUAL_BELOW_COMMON,P0_SPLIT_LIKE,False,False,47,27,20,27,20,27,0.7407407407407407,11999.937436728083,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000090_t003000ms.jpg,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000091_t003033ms.jpg,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\bridge_critical_edges\03_TERGE_47777A06F5C061A7C5E5.png
TERGXC_E1A641DDBFB04BA01A4D,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGE_5EBE14913F030C8B5102,15,16,R01ZF_SARF000015__Q095__R0009,R01ZF_SARF000016__Q095__R0019,333.6875,0.8178615196078431,0.16759794073329984,0.16156755938871237,WEAK_CONTINUATION,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_MERGE_LIKE,False,False,101,48,12,89,11,48,0.22916666666666666,11099.83843244061,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000015_t000500ms.jpg,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000016_t000533ms.jpg,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\bridge_critical_edges\04_TERGE_5EBE14913F030C8B5102.png
TERGXC_E07BFD87DD1ABFEFB8FD,TERGS_8BEED5994DAAC1AE86CF,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_DA8DFD297C778B401B67,25,26,R01ZF_SARF000025__Q095__R0055,R01ZF_SARF000026__Q095__R0042,5.875,0.5340909090909091,0.03671875,0.03557910673732021,WEAK_CONTINUATION,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_MERGE_LIKE,False,False,27,24,10,17,10,15,0.6666666666666666,10999.964420893262,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000025_t000833ms.jpg,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000026_t000867ms.jpg,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\bridge_critical_edges\05_TERGE_DA8DFD297C778B401B67.png
TERGXC_24267F2E57AA4EC88236,TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_EB227BE1175097B56CF9,26,27,R01ZF_SARF000026__Q095__R0047,R01ZF_SARF000027__Q095__R0005,56.03125,0.4958517699115044,0.05973480810234542,0.05631458274443293,WEAK_CONTINUATION,SAR_P0_RESIDUAL_BELOW_COMMON,P0_MERGE_LIKE,False,False,22,8,8,14,8,8,1.0,10799.943685417256,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000026_t000867ms.jpg,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000027_t000900ms.jpg,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\bridge_critical_edges\06_TERGE_EB227BE1175097B56CF9.png
TERGXC_BFDC1A514F2FB556E196,TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGE_705BB4140C83E1BF6899,26,27,R01ZF_SARF000026__Q095__R0047,R01ZF_SARF000027__Q095__R0005,56.03125,0.4958517699115044,0.05973480810234542,0.05631458274443293,WEAK_CONTINUATION,SAR_P0_RESIDUAL_BELOW_COMMON,P0_MERGE_LIKE,False,False,24,8,8,16,8,8,1.0,10799.943685417256,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000026_t000867ms.jpg,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000027_t000900ms.jpg,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\bridge_critical_edges\07_TERGE_705BB4140C83E1BF6899.png
TERGXC_BE4E3C340CDD56AC9621,TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGE_44350C24D56CA3C47199,19,20,R01ZF_SARF000019__Q095__R0042,R01ZF_SARF000020__Q095__R0003,83.3125,0.6942708333333333,0.06028400868306802,0.058725053967135114,WEAK_CONTINUATION,SAR_P0_RESIDUAL_BELOW_COMMON,P0_MERGE_LIKE,False,False,33,25,8,25,8,25,0.32,10799.941274946033,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000019_t000633ms.jpg,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000020_t000667ms.jpg,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\bridge_critical_edges\08_TERGE_44350C24D56CA3C47199.png
TERGXC_47A4F00A023E5CD270F2,TERGS_8BEED5994DAAC1AE86CF,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGE_026D5785A6534D9A107E,19,20,R01ZF_SARF000019__Q095__R0042,R01ZF_SARF000020__Q095__R0003,83.3125,0.6942708333333333,0.06028400868306802,0.058725053967135114,WEAK_CONTINUATION,SAR_P0_RESIDUAL_BELOW_COMMON,P0_MERGE_LIKE,False,False,38,28,8,30,8,28,0.2857142857142857,10799.941274946033,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000019_t000633ms.jpg,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000020_t000667ms.jpg,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\bridge_critical_edges\09_TERGE_026D5785A6534D9A107E.png
TERGXC_4166B4FB2EA5A5661335,TERGS_BC5EA4947C3E28B93EB6,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,TERGE_F497E3F7B05444DD3CE7,52,53,R01ZF_SARF000052__Q095__R0039,R01ZF_SARF000053__Q095__R0012,57.75,0.8619402985074627,0.06169871794871795,0.061094948426342235,WEAK_CONTINUATION,SAR_P0_RESIDUAL_ABOVE_COMMON,P0_MERGE_LIKE,False,False,77,46,8,69,8,41,0.1951219512195122,10799.938905051573,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000052_t001733ms.jpg,D:\profile\research\workspace\output\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R01ZF\frame_000053_t001767ms.jpg,D:\profile\research\workspace\output\person_terg_v0_visual_semantic_reality_check_20260829\figures\bridge_critical_edges\10_TERGE_F497E3F7B05444DD3CE7.png
