figure,seed_frame,sar_frame_index,case_role,visual_verdict
F062_process_review.png,62,58,STOP/UNKNOWN,PENDING
F062_process_review.png,62,59,PAIR_SUPPORTED,PENDING
F062_process_review.png,62,60,PAIR_SUPPORTED,PENDING
F062_process_review.png,62,62,PAIR_SUPPORTED,PENDING
F062_process_review.png,62,64,PAIR_SUPPORTED,PENDING
F062_process_review.png,62,66,PAIR_SUPPORTED,PENDING
F062_process_review.png,62,67,STOP/UNKNOWN,PENDING
F150_process_review.png,150,65,STOP/UNKNOWN,PENDING
F150_process_review.png,150,66,PAIR_SUPPORTED,PENDING
F150_process_review.png,150,82,PAIR_SUPPORTED,PENDING
F150_process_review.png,150,108,PAIR_SUPPORTED,PENDING
F150_process_review.png,150,150,PAIR_SUPPORTED,PENDING
F150_process_review.png,150,157,PAIR_SUPPORTED,PENDING
F150_process_review.png,150,164,PAIR_SUPPORTED,PENDING
F150_process_review.png,150,165,STOP/UNKNOWN,PENDING
F183_process_review.png,183,165,STOP/UNKNOWN,PENDING
F183_process_review.png,183,166,PAIR_SUPPORTED,PENDING
F183_process_review.png,183,174,PAIR_SUPPORTED,PENDING
F183_process_review.png,183,183,PAIR_SUPPORTED,PENDING
F183_process_review.png,183,221,PAIR_SUPPORTED,PENDING
F183_process_review.png,183,239,PAIR_SUPPORTED,PENDING
F183_process_review.png,183,259,PAIR_SUPPORTED,PENDING
F183_process_review.png,183,260,STOP/UNKNOWN,PENDING
F264_process_review.png,264,165,STOP/UNKNOWN,PENDING
F264_process_review.png,264,166,PAIR_SUPPORTED,PENDING
F264_process_review.png,264,183,PAIR_SUPPORTED,PENDING
F264_process_review.png,264,215,PAIR_SUPPORTED,PENDING
F264_process_review.png,264,239,PAIR_SUPPORTED,PENDING
F264_process_review.png,264,264,PAIR_SUPPORTED,PENDING
F264_process_review.png,264,266,PAIR_SUPPORTED,PENDING
F264_process_review.png,264,269,PAIR_SUPPORTED,PENDING
F264_process_review.png,264,270,STOP/UNKNOWN,PENDING
F454_process_review.png,454,405,STOP/UNKNOWN,PENDING
F454_process_review.png,454,406,PAIR_SUPPORTED,PENDING
F454_process_review.png,454,427,PAIR_SUPPORTED,PENDING
F454_process_review.png,454,430,PAIR_SUPPORTED,PENDING
F454_process_review.png,454,454,PAIR_SUPPORTED,PENDING
F454_process_review.png,454,468,PAIR_SUPPORTED,PENDING
F454_process_review.png,454,472,PAIR_SUPPORTED,PENDING
F454_process_review.png,454,481,PAIR_SUPPORTED,PENDING
F454_process_review.png,454,482,STOP/UNKNOWN,PENDING
STOP_REASON_ATLAS.png,62,58,SAR_BOUNDARY_FAR:BOUNDARY_RESPONSE_TOO_WEAK;SAR_BOUNDARY_FAR:BOUNDARY_SUPPORT_TOO_FRAGMENTED,PENDING
STOP_REASON_ATLAS.png,62,67,SAR_BOUNDARY_NEAR:BOUNDARY_RESPONSE_TOO_WEAK,PENDING
STOP_REASON_ATLAS.png,183,260,SAR_BOUNDARY_FAR:RIDGE_JUMP_EXCEEDS_LOCAL_CORRIDOR,PENDING
STOP_REASON_ATLAS.png,454,405,SAR_BOUNDARY_FAR:P0_UNAVAILABLE;SAR_BOUNDARY_NEAR:P0_UNAVAILABLE,PENDING
