provisional_person_id,frame_start,frame_end,support_count,gap_count,max_gap,median_bbox_height,boundary_contact_fraction,identity_clarity,body_completeness,auto_priority,human_review_status,notes,interval_id,status
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_001,65,75,10,1,1,38.32,0.0,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,HIGH,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_001:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_002,67,75,9,0,0,41.74,0.0,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,HIGH,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_002:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_003,69,74,6,0,0,37.3,0.0,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,MEDIUM,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_003:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_004,72,72,1,0,0,33.81,0.0,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,LOW,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_004:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_005,79,79,1,0,0,53.57,0.0,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,LOW,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_005:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_006,85,89,3,2,2,55.12,0.0,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,MEDIUM,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_006:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_007,215,215,1,0,0,90.51,1.0,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,LOW,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_007:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_008,215,241,27,0,0,122.75,0.222,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,HIGH,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_008:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_009,222,239,18,0,0,166.97,0.111,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,HIGH,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_009:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_010,222,222,1,0,0,70.81,1.0,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,LOW,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_010:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_011,323,329,6,1,1,52.08,0.0,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,MEDIUM,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_011:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_012,324,324,1,0,0,78.04,0.0,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,LOW,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_012:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_013,329,329,1,0,0,79.08,0.0,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,LOW,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_013:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_014,363,367,4,1,1,91.05,0.5,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,MEDIUM,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_014:INTERVAL_01,REVIEW_REQUIRED
GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_015,366,367,2,0,0,94.2,0.0,OPTICAL_PROVISIONAL,PROXY_REVIEW_REQUIRED,LOW,REVIEW_REQUIRED,Short-gap greedy optical linking; no SAR or physical identity claim,GM_RM017:PROVISIONAL_OPTICAL_PERSON_ID_015:INTERVAL_01,REVIEW_REQUIRED
