scene,frame,class,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,model,source
GM_RM017,65,person,0.170096,65.104,404.637,88.692,441.661,YOLO11l,full_368_frame_rescout
GM_RM017,67,person,0.518604,108.844,398.305,133.704,435.129,YOLO11l,full_368_frame_rescout
GM_RM017,67,person,0.473345,19.825,393.99,46.713,436.646,YOLO11l,full_368_frame_rescout
GM_RM017,68,person,0.519794,47.191,395.045,69.595,435.829,YOLO11l,full_368_frame_rescout
GM_RM017,68,person,0.511221,133.209,399.01,158.223,435.648,YOLO11l,full_368_frame_rescout
GM_RM017,69,person,0.558178,6.4,396.998,26.869,436.849,YOLO11l,full_368_frame_rescout
GM_RM017,69,person,0.533343,71.418,396.777,94.228,437.935,YOLO11l,full_368_frame_rescout
GM_RM017,69,person,0.364855,159.805,399.867,183.869,436.705,YOLO11l,full_368_frame_rescout
GM_RM017,70,person,0.690606,28.76,396.93,49.694,438.673,YOLO11l,full_368_frame_rescout
GM_RM017,70,person,0.583516,95.592,401.025,117.648,439.65,YOLO11l,full_368_frame_rescout
GM_RM017,70,person,0.450277,184.933,401.836,209.206,438.484,YOLO11l,full_368_frame_rescout
GM_RM017,71,person,0.63475,50.416,392.147,72.275,437.258,YOLO11l,full_368_frame_rescout
GM_RM017,71,person,0.550267,120.046,397.656,141.278,437.464,YOLO11l,full_368_frame_rescout
GM_RM017,71,person,0.427442,209.805,400.814,234.452,437.585,YOLO11l,full_368_frame_rescout
GM_RM017,72,person,0.560053,74.346,392.884,93.368,435.489,YOLO11l,full_368_frame_rescout
GM_RM017,72,person,0.529845,145.086,395.671,165.522,436.049,YOLO11l,full_368_frame_rescout
GM_RM017,72,person,0.409265,236.795,397.895,261.125,435.655,YOLO11l,full_368_frame_rescout
GM_RM017,72,person,0.166109,339.748,394.943,362.031,428.757,YOLO11l,full_368_frame_rescout
GM_RM017,73,person,0.597873,169.004,397.255,189.684,434.9,YOLO11l,full_368_frame_rescout
GM_RM017,73,person,0.523146,97.299,394.154,115.267,434.498,YOLO11l,full_368_frame_rescout
GM_RM017,73,person,0.287004,262.063,397.052,287.147,436.75,YOLO11l,full_368_frame_rescout
GM_RM017,74,person,0.314182,118.617,392.383,137.506,432.102,YOLO11l,full_368_frame_rescout
GM_RM017,74,person,0.260542,192.191,394.344,212.367,434.136,YOLO11l,full_368_frame_rescout
GM_RM017,74,person,0.137537,288.121,396.766,313.335,435.62,YOLO11l,full_368_frame_rescout
GM_RM017,75,person,0.36737,142.16,388.672,161.793,431.093,YOLO11l,full_368_frame_rescout
GM_RM017,75,person,0.352704,217.167,393.54,238.275,431.564,YOLO11l,full_368_frame_rescout
GM_RM017,79,person,0.147297,240.776,379.402,266.466,432.969,YOLO11l,full_368_frame_rescout
GM_RM017,85,person,0.177711,613.822,376.63,647.09,432.863,YOLO11l,full_368_frame_rescout
GM_RM017,88,person,0.314404,712.671,384.994,749.81,440.119,YOLO11l,full_368_frame_rescout
GM_RM017,89,person,0.279984,745.613,384.868,783.447,437.907,YOLO11l,full_368_frame_rescout
GM_RM017,215,person,0.368822,0.031,342.921,8.891,433.433,YOLO11l,full_368_frame_rescout
GM_RM017,215,person,0.204504,0.0,341.097,13.632,434.239,YOLO11l,full_368_frame_rescout
GM_RM017,216,person,0.849891,0.019,323.921,35.575,434.866,YOLO11l,full_368_frame_rescout
GM_RM017,217,person,0.82015,21.793,322.852,65.498,433.979,YOLO11l,full_368_frame_rescout
